Question,Answer,Source
What services does the Migrant Worker Hub provide?,The Migrant Worker Hub provides important information for temporary workers in British Columbia and includes a map of available services.,https://www.welcomebc.ca/start-your-life-in-b-c/settlement-services
What services are available for refugees in Canada?,"Government-assisted refugees receive support for up to a year, including accommodation, clothing, food, and employment help. Privately sponsored refugees receive assistance from volunteer groups for up to a year.",https://www.welcomebc.ca/start-your-life-in-b-c/settlement-services
What is the BC Safe Haven program?,"BC Safe Haven provides specialized support for refugee claimants, helping them navigate the refugee claim process and access immediate assistance.",https://www.welcomebc.ca/start-your-life-in-b-c/settlement-services
Can I get help with finding a job as a skilled immigrant?,"Yes, Career Paths for Skilled Immigrants supports skilled professionals in finding work in their field in Canada.",https://www.welcomebc.ca/start-your-life-in-b-c/settlement-services
What rights do workers have in British Columbia?,"Workers in B.C. can learn about their rights through resources such as the Working in B.C. page, which provides information about employment standards and worker protections.",https://www.welcomebc.ca/start-your-life-in-b-c/settlement-services
Can sponsors ask refugees for money?,"No, privately sponsored refugees do not need to pay their sponsors. Sponsors cannot ask for money to help with resettlement.",https://www.welcomebc.ca/start-your-life-in-b-c/settlement-services
Why is British Columbia a popular destination for international students?,British Columbia is one of the world's most popular destinations for international students due to its world-renowned education and transfer system.,https://learnlivebc.ca/learn/about-education-in-british-columbia
What is special about B.C.'s education system?,B.C.'s educational system is among the most respected in the world and features a world-acclaimed transfer system that allows students to move easily between qualification levels and institutions.,https://learnlivebc.ca/learn/about-education-in-british-columbia
Can international students transfer between post-secondary institutions in B.C.?,"Yes, international students can transfer between programs and institutions without applying for changes to their study permits. More information is available on the British Columbia Council on Admissions and Transfer (BCCAT) website.",https://learnlivebc.ca/learn/about-education-in-british-columbia
What age group attends elementary and secondary schools in B.C.?,Children between the ages of 5 and 18 attend Kindergarten to Grade 12 programs at either an elementary or secondary school.,https://learnlivebc.ca/learn/about-education-in-british-columbia
What types of schools offer Kindergarten to Grade 12 programs in B.C.?,Parents can enroll their child in either a public or independent school. There are approximately 350 independent schools and about 1600 public schools.,https://learnlivebc.ca/learn/about-education-in-british-columbia
Do B.C. schools offer support for students whose first language is not English?,"Yes, many schools provide support services and offer both short- and long-term program options for students whose first language is not English.",https://learnlivebc.ca/learn/about-education-in-british-columbia
What is the Education Quality Assurance (EQA) designation?,"The EQA designation is a globally recognized seal of quality for post-secondary education in B.C., ensuring institutions meet or exceed government quality assurance standards and offer consumer protection.",https://learnlivebc.ca/learn/about-education-in-british-columbia
What programs do universities in B.C. offer?,"Universities offer undergraduate and graduate degree programs at the Masters and PhD levels, as well as diplomas, certificates in professional fields, and continuing education programs.",https://learnlivebc.ca/learn/about-education-in-british-columbia
What types of programs do colleges and institutes in B.C. offer?,"Colleges provide programs in trades, vocational, career technical, and academic studies leading to certificates, diplomas, associate degrees, and applied degrees. Institutes specialize in career, vocational, and technical fields.",https://learnlivebc.ca/learn/about-education-in-british-columbia
Are private institutions in B.C. authorized to offer degree programs?,"Yes, private and out-of-province public institutions must be authorized by the government to deliver degree programs to ensure quality education.",https://learnlivebc.ca/learn/about-education-in-british-columbia
What are private career and language training institutions in B.C.?,Privately-operated career and language training institutions offer non-degree programs. They require certification under the Private Training Act if they provide career-related programs with at least 40 instructional hours and tuition of at least $4000.,https://learnlivebc.ca/learn/about-education-in-british-columbia
How is the private training sector regulated in B.C.?,"The Private Training Institutions Branch (PTIB) regulates the sector by ensuring institutions meet certification requirements, providing student protection, and overseeing the Student Tuition Protection Fund.",https://learnlivebc.ca/learn/about-education-in-british-columbia
Can students study online in B.C.?,"Yes, students can earn B.C. qualifications through online distance and supported open learning, also known as distributed learning.",https://learnlivebc.ca/learn/about-education-in-british-columbia
Where can students search for online courses in B.C.?,Students can explore online courses offered by B.C.'s post-secondary institutions through the CoursesBC platform.,https://learnlivebc.ca/learn/about-education-in-british-columbia
What do I need to work in B.C.?,"You need a Social Insurance Number, a work permit (if required), a résumé, work references, education and professional credentials (translated if necessary), and professional certification for regulated jobs.",https://www.welcomebc.ca/work-in-b-c/finding-work-in-b-c
Where can I look for a job in B.C.?,"You can search for jobs on the WorkBC website, learn about different careers, B.C.’s economy, industries, and job market. Networking is also important to access the hidden job market.",https://www.welcomebc.ca/work-in-b-c/finding-work-in-b-c
How do I apply for a job in B.C.?,"Most employers require an application form with your address, phone number, work history, and references. Some companies accept in-person applications, while others only accept online applications.",https://www.welcomebc.ca/work-in-b-c/finding-work-in-b-c
What is a résumé and cover letter?,A résumé describes your work experience and education. A cover letter explains why you want the job and why you are a good fit. It helps employers understand your communication skills.,https://www.welcomebc.ca/work-in-b-c/finding-work-in-b-c
What are references and why are they important?,"References are people who can recommend you for a job. Employers may contact them to verify your qualifications. If you are new to Canada, volunteering can help you gain references.",https://www.welcomebc.ca/work-in-b-c/finding-work-in-b-c
Do I need a criminal record check for a job in B.C.?,"Some employers require a criminal record check, which shows if you have been convicted of a crime. Schools and childcare companies often require this check.",https://www.welcomebc.ca/work-in-b-c/finding-work-in-b-c
What should I expect in a job interview?,"Employers will ask about your education, skills, and experience. Common questions include why you want the job and what makes you a good candidate. Researching the company before the interview is recommended.",https://www.welcomebc.ca/work-in-b-c/finding-work-in-b-c
What is professional certification and why is it needed?,"Some jobs in B.C. require professional certification, which proves that you have the necessary skills and training. A regulatory authority issues this certification.",https://www.welcomebc.ca/work-in-b-c/finding-work-in-b-c
What are the different types of credential assessments?,"Two common types are: Educational Credential Assessment (ECA) for immigration purposes and credential assessments for professional certification, which may include work experience and licensing requirements.",https://www.welcomebc.ca/work-in-b-c/finding-work-in-b-c
How can I get help finding a job in B.C.?,"You can get help from the Career Paths for Skilled Immigrants program, the Skilled Immigrant InfoCentre, WorkBC, and WorkBC Centres, which provide job search assistance, training, and financial support.",https://www.welcomebc.ca/work-in-b-c/finding-work-in-b-c
What services do WorkBC Centres provide?,"WorkBC Centres offer job search support, training, work experience programs, self-employment services, assistive technology, and financial support for child care, transportation, and work-related expenses.",https://www.welcomebc.ca/work-in-b-c/finding-work-in-b-c
Where can I learn English in B.C.?,English language skills are essential for working and daily life. The WorkBC website provides information on where to take English language classes.,https://www.welcomebc.ca/work-in-b-c/finding-work-in-b-c
What are regulated jobs in B.C.?,"Regulated jobs in B.C. require special education and training, and workers must prove they have the necessary skills through certification.",https://www.welcomebc.ca/work-in-b-c/getting-certified-to-work-in-b-c
How do I know if my job is regulated in B.C.?,"Visit jobbank.gc.ca, click 'Career Planning' > 'Job Profiles', search for your job, select 'Province of British Columbia', and check 'Professional certification and licensing' under 'Requirements'.",https://www.welcomebc.ca/work-in-b-c/getting-certified-to-work-in-b-c
What is International Credential Recognition (ICR)?,ICR (or Foreign Credential Recognition) is the process by which a regulatory authority assesses qualifications obtained outside Canada to ensure they meet job requirements.,https://www.welcomebc.ca/work-in-b-c/getting-certified-to-work-in-b-c
Is international credential recognition the same as an Education Credential Assessment (ECA)?,"No, an ECA is used for immigration purposes with IRCC, while international credential recognition is for working in regulated jobs in Canada.",https://www.welcomebc.ca/work-in-b-c/getting-certified-to-work-in-b-c
Do I need to get re-certified if my credentials are recognized in another province?,"If your qualifications have already been recognized in another province, you may not need to undergo a full credential assessment again due to labour mobility agreements.",https://www.welcomebc.ca/work-in-b-c/getting-certified-to-work-in-b-c
Who decides if I need certification for a regulated job?,The appropriate regulatory authority assesses your skills and experience to determine if you meet the certification requirements.,https://www.welcomebc.ca/work-in-b-c/getting-certified-to-work-in-b-c
How do I apply for certification in B.C.?,"You must apply to the correct regulatory authority, review their website for instructions, gather necessary documents, and follow their application process.",https://www.welcomebc.ca/work-in-b-c/getting-certified-to-work-in-b-c
Can I apply for certification before coming to Canada?,Some regulatory authorities allow applications before arriving in Canada. Check their website for details.,https://www.welcomebc.ca/work-in-b-c/getting-certified-to-work-in-b-c
What documents are needed for certification?,"Required documents vary but may include academic transcripts, proof of work experience, translated documents, and reference letters. Contact the regulatory authority for specifics.",https://www.welcomebc.ca/work-in-b-c/getting-certified-to-work-in-b-c
Is financial help available for certification fees?,"Yes, programs like the Career Paths for Skilled Immigrants program, Foreign Credential Recognition Loan Project, and Global Talent Loans can provide financial assistance.",https://www.welcomebc.ca/work-in-b-c/getting-certified-to-work-in-b-c
How long does certification take in B.C.?,"It may take several months as regulatory authorities assess qualifications, contact references, conduct interviews, and request additional documents.",https://www.welcomebc.ca/work-in-b-c/getting-certified-to-work-in-b-c
What happens if I can’t get certified in B.C.?,The Career Paths program may help with certification or finding related employment based on your education and experience.,https://www.welcomebc.ca/work-in-b-c/getting-certified-to-work-in-b-c
What is labour mobility in Canada?,Labour mobility allows certified professionals to transfer their credentials between provinces without retaking exams or undergoing significant additional training.,https://www.welcomebc.ca/work-in-b-c/getting-certified-to-work-in-b-c
Where can I get more information on labour mobility?,Visit the Labour Mobility website or email labourmobility@gov.bc.ca for more details on transferring credentials between provinces.,https://www.welcomebc.ca/work-in-b-c/getting-certified-to-work-in-b-c
How can I find out if I am eligible to come to Canada for work?,"You can use the Immigration, Refugees and Citizenship Canada (IRCC) online tool to determine your eligibility to come to Canada as an immigrant, temporary resident, or visitor.",https://www.welcomebc.ca/work-in-b-c/coming-to-b-c-for-work
What do I need to work in B.C. as a temporary foreign worker?,"If you are not a Canadian citizen or permanent resident, you will usually need both a valid work permit and a Social Insurance Number (SIN) to work in British Columbia.",https://www.welcomebc.ca/work-in-b-c/coming-to-b-c-for-work
How do I get a work permit to work in B.C.?,"You may need a work permit. Some work permits require a job offer and a Labour Market Impact Assessment (LMIA), while others, like open work permits, do not require a job offer.",https://www.welcomebc.ca/work-in-b-c/coming-to-b-c-for-work
What is a Labour Market Impact Assessment (LMIA)?,An LMIA is a document an employer must obtain to show that there are no Canadian citizens or permanent residents available to fill a job before hiring a foreign worker.,https://www.welcomebc.ca/work-in-b-c/coming-to-b-c-for-work
Do I need a visitor visa in addition to a work permit?,You may need a visitor visa in addition to a work permit to enter Canada. Check the IRCC website to determine your specific requirements.,https://www.welcomebc.ca/work-in-b-c/coming-to-b-c-for-work
Can my family accompany me if I work in B.C. temporarily?,Your spouse or common-law partner and dependents may be able to come with you. They may also be eligible to apply for a study or work permit.,https://www.welcomebc.ca/work-in-b-c/coming-to-b-c-for-work
What rights do I have as a temporary foreign worker in B.C.?,"As a temporary foreign worker in B.C., you have many of the same rights as British Columbians, including workplace protections and fair treatment.",https://www.welcomebc.ca/work-in-b-c/coming-to-b-c-for-work
What is a Social Insurance Number (SIN) and why do I need it?,A SIN is required to work in Canada and access government programs and benefits. You should protect your SIN as it contains important personal information.,https://www.welcomebc.ca/work-in-b-c/coming-to-b-c-for-work
How do I extend my work permit in Canada?,"You need to apply to Immigration, Refugees and Citizenship Canada (IRCC) at least 30 days before your current work permit expires. You cannot extend a permit beyond your passport’s expiry date.",https://www.welcomebc.ca/work-in-b-c/coming-to-b-c-for-work
Can I change employers while on a work permit?,"If you have an employer-specific work permit, you must apply to IRCC to change the conditions of your permit before starting a new job.",https://www.welcomebc.ca/work-in-b-c/coming-to-b-c-for-work
Can I extend my open work permit?,"If you are still eligible to work in Canada under an open work permit, you may be able to extend it.",https://www.welcomebc.ca/work-in-b-c/coming-to-b-c-for-work
What are the options for becoming a permanent resident in B.C.?,"Options include the BC Provincial Nominee Program, Express Entry (Federal Skilled Worker, Federal Skilled Trades, Canadian Experience Class, Provincial Nominees), and the Caregiver Program.",https://www.welcomebc.ca/work-in-b-c/coming-to-b-c-for-work
What is the BC Provincial Nominee Program?,"This program provides a pathway to permanent residence for skilled and semi-skilled workers, international graduates, and their family members who intend to settle in B.C.",https://www.welcomebc.ca/work-in-b-c/coming-to-b-c-for-work
How does Express Entry work for permanent residence?,"Express Entry is a federal system that manages applications for permanent residence under programs such as Federal Skilled Worker, Federal Skilled Trades, Canadian Experience Class, and Provincial Nominees.",https://www.welcomebc.ca/work-in-b-c/coming-to-b-c-for-work
What is the Caregiver Program for permanent residence?,The Caregiver Program provides pathways to permanent residence for those employed as live-in caregivers or caregivers to children or people with high medical needs.,https://www.welcomebc.ca/work-in-b-c/coming-to-b-c-for-work
How can I become a Canadian citizen?,"After being a permanent resident in Canada for several years, you may be eligible to apply for Canadian citizenship.",https://www.welcomebc.ca/work-in-b-c/coming-to-b-c-for-work
What rights do temporary foreign workers have in B.C.?,"Temporary foreign workers in B.C. have many of the same rights as British Columbians. If their employer does not follow the employment agreement, they can contact Employment and Social Development Canada at 1-866-602-9448 or use the Online Fraud Reporting Tool.",https://www.welcomebc.ca/work-in-b-c/working-in-b-c
Who can I contact if I have concerns about my work situation in B.C.?,"If you have questions or concerns about your work situation in B.C., call the WorkBC Contact Centre at 1-877-952-6914. They will provide contact details for the appropriate organization.",https://www.welcomebc.ca/work-in-b-c/working-in-b-c
What can I do if I am experiencing workplace abuse as a temporary worker?,"If you are being abused or at risk of abuse in your job, you can report the issue to enforcement agencies such as the police, WorkSafeBC, or the Employment Standards Branch. You may also be eligible for an open work permit for vulnerable foreign workers.",https://www.welcomebc.ca/work-in-b-c/working-in-b-c
What protections does the B.C. Human Rights Code offer workers?,"The B.C. Human Rights Code protects workers from discrimination based on race, skin color, religion, sex, sexual orientation, age, disability, and other factors. It also protects workers from harassment and unfair treatment.",https://www.welcomebc.ca/work-in-b-c/working-in-b-c
What should I do if I experience discrimination at work?,"If you experience discrimination at work, you can file a complaint with the B.C. Human Rights Tribunal. Employers are required to provide a harassment-free workplace.",https://www.welcomebc.ca/work-in-b-c/working-in-b-c
What does the Employment Standards Act cover?,"The Employment Standards Act applies to full-time, part-time, and casual workers in B.C. It covers aspects such as meal breaks, overtime pay, and timely payment of wages.",https://www.welcomebc.ca/work-in-b-c/working-in-b-c
"What is the standard workweek in B.C., and how does overtime work?","The standard workweek in B.C. is 40 hours, with a daily limit of 8 hours. If you work more than these hours, you are entitled to overtime pay, which is 1.5 times your regular hourly wage.",https://www.welcomebc.ca/work-in-b-c/working-in-b-c
Are part-time or casual workers entitled to overtime pay?,"Yes, part-time or casual workers must be paid overtime if they work more than 8 hours in a day. Employers must also pay workers for at least 2 hours if they report to work, even if they work less than 2 hours.",https://www.welcomebc.ca/work-in-b-c/working-in-b-c
What are my rights regarding workplace safety in B.C.?,Employers in B.C. must ensure workplaces are safe and provide the necessary safety equipment and training. Workers have the right to refuse unsafe work. WorkSafeBC offers training and compensation for work-related injuries.,https://www.welcomebc.ca/work-in-b-c/working-in-b-c
How often do workers get paid in B.C.?,"Most workers in B.C. are paid every two weeks or twice a month. Employers may pay via cheque or direct deposit, but direct deposit requires written agreement from the worker.",https://www.welcomebc.ca/work-in-b-c/working-in-b-c
What deductions can my employer make from my paycheck?,"Employers must deduct income tax, Canada Pension Plan (CPP) contributions, and Employment Insurance (EI) premiums. Other deductions may include union dues and taxable benefits.",https://www.welcomebc.ca/work-in-b-c/working-in-b-c
What are EI Caregiving benefits and who qualifies?,"EI Caregiving benefits provide up to 55% of earnings for those caring for a critically ill, injured, or dying person. Caregivers do not need to be related or live with the person but must be considered like family. Benefits include: family caregiver benefit for children, family caregiver benefit for adults, and compassionate care benefits. More details can be found on the Government of Canada website.",https://www.welcomebc.ca/work-in-b-c/working-in-b-c
How many days of bereavement leave can an employee take?,Employees can take up to 3 days of unpaid bereavement leave when an immediate family member dies.,https://www.welcomebc.ca/work-in-b-c/working-in-b-c
What are sickness benefits for employees?,"Employees can take up to 3 days of unpaid, job-protected leave due to personal illness or injury if they have worked for their employer for at least 90 days. Those unable to work due to illness, injury, or quarantine may apply for EI sickness benefits.",https://www.welcomebc.ca/work-in-b-c/working-in-b-c
What is family responsibility leave?,Employees can take up to 5 days of unpaid family responsibility leave each year to care for a sick family member or attend a child's school activity.,https://www.welcomebc.ca/work-in-b-c/working-in-b-c
How long is critical illness and injury leave?,Employees may take up to 16 weeks of unpaid leave to care for a critically ill or injured adult family member and up to 36 weeks for a child.,https://www.welcomebc.ca/work-in-b-c/working-in-b-c
What leave is available for employees experiencing domestic or sexual violence?,"Employees can take up to 5 paid days, 5 unpaid days, and an additional 15 weeks of unpaid leave if they experience domestic or sexual violence.",https://www.welcomebc.ca/work-in-b-c/working-in-b-c
What are statutory holidays in British Columbia?,"There are 10 statutory holidays in BC: New Year's Day (Jan 1), Family Day (third Monday in Feb), Good Friday (Friday before Easter), Victoria Day (Monday before May 24), Canada Day (July 1 or July 2 if July 1 falls on a Sunday), BC Day (first Monday in Aug), Labour Day (first Monday in Sept), National Day for Truth and Reconciliation (Sept 30), Thanksgiving (second Monday in Oct), Remembrance Day (Nov 11), and Christmas Day (Dec 25).",https://www.welcomebc.ca/work-in-b-c/working-in-b-c
What happens if I work on a statutory holiday?,"If you work on a statutory holiday, you receive time-and-a-half pay plus an average day’s pay. If you do not work, you are still entitled to an average day’s pay.",https://www.welcomebc.ca/work-in-b-c/working-in-b-c
What are labour unions and how do they work?,"Labour unions represent employees to negotiate wages, benefits, and working conditions. Unions must be certified, meaning workers vote to support them. Union dues are automatically deducted from paychecks. Workers have the legal right to join a union. More details are available from the BC Federation of Labour.",https://www.welcomebc.ca/work-in-b-c/working-in-b-c
What should I do if I get hurt at work?,"Seek help immediately from a first aid attendant if available. Report the accident to your employer and fill out a report form. If you need medical attention, inform your doctor it was a workplace injury. If you miss work due to injury, call WorkSafeBC at 1-888-967-5377.",https://www.welcomebc.ca/work-in-b-c/working-in-b-c
Can an employer fire a worker without notice?,"An employer must provide written notice or compensation unless the worker has been employed for less than 3 months. If a worker has been employed for more than 3 months, the employer must provide notice or pay based on the length of employment. Employers can fire a worker without notice for serious misconduct (just cause).",https://www.welcomebc.ca/work-in-b-c/working-in-b-c
What is the difference between being fired and being laid off?,"Being fired means an employer ends employment due to performance or behavior issues. Being laid off means an employer has no work available. Both require notice or compensation, except for temporary layoffs lasting under 13 weeks.",https://www.welcomebc.ca/work-in-b-c/working-in-b-c
Do workers need to give notice before quitting?,"Workers are not legally required to give notice, but it is recommended to provide 2 weeks' notice. Employers do not owe compensation if a worker quits.",https://www.welcomebc.ca/work-in-b-c/working-in-b-c
Who is eligible for Employment Insurance (EI)?,"EI provides financial support for workers who lose their job due to factors beyond their control, such as layoffs. Workers must be actively looking for a new job. Those who quit or are self-employed are not eligible. Applications should be filed as soon as work ends to avoid delays.",https://www.welcomebc.ca/work-in-b-c/working-in-b-c
What can workers do if they run out of EI benefits?,"If EI benefits end before finding a job, workers may qualify for provincial income assistance through the British Columbia Employment and Assistance Program. More details can be found on the Employment and Assistance Program website.",https://www.welcomebc.ca/work-in-b-c/working-in-b-c
Who can work on-campus in Canada?,"International students can work on-campus if their study permit allows it, they are full-time post-secondary students at an eligible institution, have a valid study permit, and a Social Insurance Number (SIN).",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/work-on-campus.html
Can students work on-campus before their studies begin?,"No, international students cannot work before their studies begin.",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/work-on-campus.html
What institutions allow international students to work on-campus?,"International students can work on-campus at public post-secondary schools, private post-secondary schools in Quebec that follow the same rules as public schools, Canadian private schools offering degree programs, and private or public secondary or post-secondary institutions offering qualifying vocational programs.",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/work-on-campus.html
What is the condition for international students to work on-campus?,"Students must have a study permit that lists a condition allowing them to work on-campus, along with a valid SIN.",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/work-on-campus.html
Can students work on-campus if they are studying part-time in their final semester?,"Yes, if they were full-time students in every prior semester, they can work unlimited hours on-campus in their final semester while studying part-time.",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/work-on-campus.html
Under what circumstances must a student stop working on-campus?,"A student must stop working on-campus if they are no longer studying full-time (except in their final semester with certain conditions), their study permit expires, they are on an authorized leave, or they are switching schools and not studying.",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/work-on-campus.html
Where can international students work on-campus?,"International students can work at any building on their school campus, or at associated locations like libraries, hospitals, or research facilities, if they are working as a teaching or research assistant related to a research grant.",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/work-on-campus.html
Who can international students work for on-campus?,"International students can work for the school, a faculty member, a student organization, themselves if they run a business on campus, a private business, or a private contractor providing on-campus services.",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/work-on-campus.html
How does a student apply for a Social Insurance Number (SIN)?,"A student must apply for a SIN online, in person at a Service Canada Centre, or by mail. They must have the correct conditions on their study permit to be eligible.",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/work-on-campus.html
How many hours can an international student work on-campus?,Students can work unlimited hours on-campus as long as they meet the eligibility requirements for working on-campus.,https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/work-on-campus.html
Can students work off-campus in addition to on-campus?,"Yes, international students can work both on-campus and off-campus as long as they meet the eligibility requirements.",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/work-on-campus.html
What should a student do if their study permit doesn't include the necessary conditions for working on-campus?,The student can request an amendment to their study permit to include the necessary conditions for on-campus work before they can apply for a SIN.,https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/work-on-campus.html
What is the maximum number of hours students can work off-campus during regular school terms?," ""Students can work up to 24 hours per week off-campus during regular school terms.""",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/work-off-campus.html
Who is eligible to work off-campus without a work permit?," ""You must be a full-time student at a designated learning institution (DLI)  enrolled in a qualifying study program  and meet other requirements such as having a social insurance number (SIN).""",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/work-off-campus.html
What should students do if their study permit doesn't have work conditions on it?," ""Students can request to have work conditions added to their study permit if they're eligible to work off-campus. There's no fee for this request.""",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/work-off-campus.html
What is the condition for working unlimited hours during scheduled breaks?," ""Students can work unlimited hours during scheduled breaks if they are full-time students both before and after the break.""",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/work-off-campus.html
What is the penalty for working more than 24 hours per week off-campus?," ""Working more than 24 hours per week is a violation of your study permit conditions  and it may result in losing student status  being denied future permits  or being asked to leave Canada.""",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/work-off-campus.html
Can self-employed students work off-campus without a work permit?," ""Yes  self-employed students can work off-campus  but they must track their hours and ensure they comply with their study permit conditions.""",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/work-off-campus.html
What should a student do if their study permit doesn't allow off-campus work?," ""If a student's study permit says they cannot work off-campus  they must apply for a work permit if they want to work while studying in Canada.""",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/work-off-campus.html
Can students work remotely for an employer outside Canada while studying?," ""Yes  students can work remotely for an employer outside Canada as long as they meet the conditions of their study permit. This work does not count toward the 24-hour per week limit.""",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/work-off-campus.html
How can a student change the conditions on their study permit?," ""A student can apply to change the conditions of their study permit by applying for a new study permit online. There is a fee for this change.""",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/work-off-campus.html
Can a student work full-time after completing their study program?," ""Students can work full-time if they have applied for a work permit or post-graduation work permit before their study permit expired  or if they are starting a new study program.""",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/work-off-campus.html
What are the conditions for working full-time after completing a study program?," ""To work full-time  a student must have applied for a work permit before their study permit expired  be waiting for a decision on the permit  or be starting a new study program.""",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/work-off-campus.html
How are work hours calculated for students?," ""Work hours are calculated as any time spent earning wages or collecting a commission  even if on call.""",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/work-off-campus.html
Who cannot work off-campus without a work permit?," ""Students who are only enrolled in ESL/FSL programs  taking general interest courses  or not meeting study permit conditions cannot work off-campus.""",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/work-off-campus.html
