question,answer
What was the average household expenditure on Cell phone and pager services for All classes in 2021?,$1308.0
What was the average household expenditure on Purchase of telephones and equipment for All classes in 2021?,$274.0
What was the average household expenditure on Internet access services for All classes in 2021?,$886.0
What was the average household expenditure on Digital services for All classes in 2021?,$171.0
"What was the average household expenditure on Postal, courier, delivery and other communication services for All classes in 2021?",$140.0
What was the average household expenditure on Domestic and other custodial services (excluding child care) for All classes in 2021?,$159.0
What was the average household expenditure on Pet expenses for All classes in 2021?,$708.0
What was the average household expenditure on Pet food and pet-related goods for All classes in 2021?,$351.0
What was the average household expenditure on Purchase of pets for All classes in 2021?,$79.0
What was the average household expenditure on Veterinarian and other services for All classes in 2021?,$278.0
What was the average household expenditure on Household cleaning supplies and equipment for All classes in 2021?,$269.0
What was the average household expenditure on Detergent and other soaps for All classes in 2021?,$110.0
What was the average household expenditure on Cleaning equipment (non-electric) for All classes in 2021?,$26.0
What was the average household expenditure on Other household cleaning supplies for All classes in 2021?,$133.0
"What was the average household expenditure on Paper, plastic and foil supplies for All classes in 2021?",$379.0
What was the average household expenditure on Stationery (excluding school supplies) for All classes in 2021?,$118.0
What was the average household expenditure on Other paper supplies for All classes in 2021?,$192.0
What was the average household expenditure on Plastic and foil supplies for All classes in 2021?,$69.0
What was the average household expenditure on Garden supplies and services for All classes in 2021?,$524.0
"What was the average household expenditure on Nursery and greenhouse stock, cut flowers, decorative plants and planting seeds for All classes in 2021?",$273.0
"What was the average household expenditure on Fertilizers, herbicides, insecticides, pesticides, soil and soil conditioners for All classes in 2021?",$75.0
"What was the average household expenditure on Groundskeeping services, snow and garbage removal for All classes in 2021?",$176.0
What was the average household expenditure on Other household supplies for All classes in 2021?,$177.0
What was the average household expenditure on Child care for All classes in 2021?,$371.0
What was the average household expenditure on Child care outside the home for All classes in 2021?,$324.0
What was the average household expenditure on Child care in the home (regular and occasional) for All classes in 2021?,$47.0
What was the average household expenditure on Household furnishings and equipment for All classes in 2021?,$3570.0
What was the average household expenditure on Household furnishings for All classes in 2021?,$1591.0
What was the average household expenditure on Furniture for All classes in 2021?,$988.0
"What was the average household expenditure on Rugs, mats and underpadding for All classes in 2021?",$84.0
"What was the average household expenditure on Works of art, carvings and other decorative ware for All classes in 2021?",$130.0
What was the average household expenditure on Linens for All classes in 2021?,$138.0
"What was the average household expenditure on Other household furnishings (curtains, mirrors and picture frames) for All classes in 2021?",$nan
What was the average household expenditure on Household equipment for All classes in 2021?,$1727.0
What was the average household expenditure on Household appliances for All classes in 2021?,$817.0
What was the average household expenditure on Refrigerators and freezers for All classes in 2021?,$183.0
What was the average household expenditure on Microwave ovens and cooking appliances for All classes in 2021?,$146.0
"What was the average household expenditure on Washers, dryers and dishwashers for All classes in 2021?",$170.0
"What was the average household expenditure on Room air conditioners, portable humidifiers and dehumidifiers for All classes in 2021?",$112.0
What was the average household expenditure on Other electric equipment and appliances (including parts and attachments) for All classes in 2021?,$206.0
What was the average household expenditure on Other household equipment for All classes in 2021?,$909.0
What was the average household expenditure on Home and workshop tools and equipment for All classes in 2021?,$220.0
"What was the average household expenditure on Lawn, garden and snow-removal equipment and tools for All classes in 2021?",$250.0
What was the average household expenditure on Non-electric kitchen and cooking equipment for All classes in 2021?,$141.0
"What was the average household expenditure on Other household equipment, parts and accessories for All classes in 2021?",$298.0
"What was the average household expenditure on Maintenance, rental, repairs and services related to household furnishings and equipment for All classes in 2021?",$152.0
What was the average household expenditure on Services related to household furnishings and equipment for All classes in 2021?,$101.0
What was the average household expenditure on Rental of heating equipment for All classes in 2021?,$44.0
What was the average household expenditure on Home security services for All classes in 2021?,$56.0
What was the average household expenditure on Clothing and accessories for All classes in 2021?,$2303.0
What was the average household expenditure on Women's and girls' wear (women and girls aged 14 years and over) for All classes in 2021?,$844.0
What was the average household expenditure on Clothing (women and girls aged 14 years and over) for All classes in 2021?,$606.0
What was the average household expenditure on Footwear (women and girls aged 14 years and over) for All classes in 2021?,$238.0
What was the average household expenditure on Men's and boys' wear (men and boys aged 14 years and over) for All classes in 2021?,$570.0
What was the average household expenditure on Clothing (men and boys aged 14 years and over) for All classes in 2021?,$379.0
What was the average household expenditure on Footwear (men and boys aged 14 years and over) for All classes in 2021?,$191.0
What was the average household expenditure on Children's wear (children under 14 years of age) for All classes in 2021?,$291.0
What was the average household expenditure on Clothing and cloth diapers (children under 14 years of age) for All classes in 2021?,$208.0
What was the average household expenditure on Footwear (children under 14 years of age) for All classes in 2021?,$83.0
What was the average household expenditure on Athletic footwear for All classes in 2021?,$158.0
What was the average household expenditure on Accessories for All classes in 2021?,$117.0
What was the average household expenditure on Watches and jewellery for All classes in 2021?,$125.0
"What was the average household expenditure on Clothing material, yarn, thread and other notions for All classes in 2021?",$66.0
What was the average household expenditure on Clothing services for All classes in 2021?,$132.0
"What was the average household expenditure on Laundromats, dry-cleaning and laundry services for All classes in 2021?",$63.0
"What was the average household expenditure on Services for clothing, footwear and jewellery for All classes in 2021?",$69.0
What was the average household expenditure on Transportation for All classes in 2021?,$10099.0
What was the average household expenditure on Private transportation for All classes in 2021?,$9501.0
"What was the average household expenditure on Private use automobiles, vans and trucks for All classes in 2021?",$4473.0
"What was the average household expenditure on Purchase of automobiles, vans and trucks for All classes in 2021?",$4083.0
What was the average household expenditure on Automobiles (purchase) for All classes in 2021?,$1200.0
"What was the average household expenditure on Vans (including mini-vans, purchase) for All classes in 2021?",$165.0
"What was the average household expenditure on Trucks (including sport utility vehicles, purchase) for All classes in 2021?",$2717.0
"What was the average household expenditure on Accessories for automobiles, vans and trucks for All classes in 2021?",$43.0
"What was the average household expenditure on Fees for leased automobiles, vans and trucks for All classes in 2021?",$346.0
"What was the average household expenditure on Regular fees for leased automobiles, vans and trucks for All classes in 2021?",$323.0
What was the average household expenditure on Regular fees for leased automobiles for All classes in 2021?,$119.0
What was the average household expenditure on Regular fees for leased vans and trucks for All classes in 2021?,$204.0
"What was the average household expenditure on Other costs for leased automobiles, vans and trucks (include down payment and closing costs) for All classes in 2021?",$23.0
"What was the average household expenditure on Rented automobiles, vans and trucks for All classes in 2021?",$40.0
"What was the average household expenditure on Automobile, van and truck operations for All classes in 2021?",$4989.0
"What was the average household expenditure on Registration fees for automobiles, vans and trucks (including insurance if part of registration) for All classes in 2021?",$541.0
What was the average household expenditure on Private and public vehicle insurance premiums for All classes in 2021?,$1097.0
"What was the average household expenditure on Tires, batteries, and other parts and supplies for vehicles for All classes in 2021?",$269.0
What was the average household expenditure on Maintenance and repairs of vehicles for All classes in 2021?,$716.0
"What was the average household expenditure on Vehicle operation, security and communication services for All classes in 2021?",$39.0
What was the average household expenditure on Gas and other fuels (all vehicles and tools) for All classes in 2021?,$2080.0
What was the average household expenditure on Parking (excluding parking fees included in rent and traffic and parking tickets) for All classes in 2021?,$143.0
"What was the average household expenditure on Drivers' licences and tests, and driving lessons for All classes in 2021?",$102.0
What was the average household expenditure on Drivers' licences and tests for All classes in 2021?,$62.0
What was the average household expenditure on Driving lessons for All classes in 2021?,$40.0
What was the average household expenditure on Public transportation for All classes in 2021?,$598.0
"What was the average household expenditure on City or commuter bus, subway, streetcar and commuter train for All classes in 2021?",$128.0
What was the average household expenditure on Taxi (including tips) for All classes in 2021?,$38.0
What was the average household expenditure on Peer-to-peer ride services for All classes in 2021?,$63.0
What was the average household expenditure on Other local passenger transportation for All classes in 2021?,$22.0
What was the average household expenditure on Airplane for All classes in 2021?,$230.0
What was the average household expenditure on Inter-city bus for All classes in 2021?,$2.0
What was the average household expenditure on Other inter-city passenger transportation services for All classes in 2021?,$15.0
What was the average household expenditure on Household moving and storage services for All classes in 2021?,$99.0
What was the average household expenditure on Health care for All classes in 2021?,$2776.0
What was the average household expenditure on Direct health care costs to household for All classes in 2021?,$2059.0
"What was the average household expenditure on Prescribed medicines, pharmaceutical products and cannabis for medical use for All classes in 2021?",$501.0
What was the average household expenditure on Prescribed medicines and pharmaceutical products for All classes in 2021?,$484.0
What was the average household expenditure on Cannabis for medical use for All classes in 2021?,$17.0
"What was the average household expenditure on Non-prescribed medicines, pharmaceutical products, health care supplies and equipment for All classes in 2021?",$514.0
What was the average household expenditure on Health care services for All classes in 2021?,$287.0
What was the average household expenditure on Health care practitioners (excluding general practitioners and specialists) for All classes in 2021?,$165.0
What was the average household expenditure on Health care by general practitioners and specialists for All classes in 2021?,$44.0
"What was the average household expenditure on Weight control programs, smoking cessation programs and other medical services for All classes in 2021?",$36.0
"What was the average household expenditure on Hospital care, nursing homes and other residential care facilities for All classes in 2021?",$42.0
What was the average household expenditure on Eye-care goods and services for All classes in 2021?,$266.0
What was the average household expenditure on Prescription eye wear for All classes in 2021?,$174.0
What was the average household expenditure on Non-prescription eye wear and other eye-care goods for All classes in 2021?,$31.0
"What was the average household expenditure on Eye-care services (e.g. surgery, exams) for All classes in 2021?",$62.0
What was the average household expenditure on Dental services for All classes in 2021?,$490.0
What was the average household expenditure on Private health insurance plan premiums for All classes in 2021?,$717.0
What was the average household expenditure on Private health and dental plan premiums for All classes in 2021?,$576.0
What was the average household expenditure on Accident or disability insurance premiums for All classes in 2021?,$140.0
What was the average household expenditure on Personal care for All classes in 2021?,$1430.0
What was the average household expenditure on Personal care products for All classes in 2021?,$689.0
What was the average household expenditure on Hair care products for All classes in 2021?,$89.0
"What was the average household expenditure on Makeup, skin care, manicure and fragrance products for All classes in 2021?",$198.0
"What was the average household expenditure on Makeup, skin care and manicure products for All classes in 2021?",$177.0
What was the average household expenditure on Fragrance products for All classes in 2021?,$21.0
What was the average household expenditure on Personal deodorants for All classes in 2021?,$19.0
What was the average household expenditure on Body soaps for All classes in 2021?,$60.0
What was the average household expenditure on Oral hygiene products for All classes in 2021?,$74.0
What was the average household expenditure on Disposable diapers for All classes in 2021?,$54.0
What was the average household expenditure on Other personal care supplies and equipment for All classes in 2021?,$195.0
What was the average household expenditure on Personal care services for All classes in 2021?,$740.0
What was the average household expenditure on Hair grooming services for All classes in 2021?,$515.0
What was the average household expenditure on Other personal care services for All classes in 2021?,$226.0
What was the average household expenditure on Recreation for All classes in 2021?,$4223.0
What was the average household expenditure on Recreational equipment and related services for All classes in 2021?,$1539.0
"What was the average household expenditure on Sports, athletic and recreational equipment and related services for All classes in 2021?",$178.0
What was the average household expenditure on Outdoor play equipment and accessories for All classes in 2021?,$nan
What was the average household expenditure on Children's toys for All classes in 2021?,$162.0
What was the average household expenditure on Video game systems and accessories (excluding for computers) for All classes in 2021?,$nan
What was the average household expenditure on Art and craft materials for All classes in 2021?,$74.0
What was the average household expenditure on Computer equipment and supplies for All classes in 2021?,$758.0
What was the average household expenditure on Computer hardware for All classes in 2021?,$416.0
What was the average household expenditure on Computer software and video game systems for All classes in 2021?,$76.0
What was the average household expenditure on Computer supplies and other equipment for All classes in 2021?,$62.0
What was the average household expenditure on Tablet computers for All classes in 2021?,$119.0
What was the average household expenditure on E-Book readers for All classes in 2021?,$6.0
What was the average household expenditure on Wearable electronic devices for All classes in 2021?,$79.0
What was the average household expenditure on Photographic goods and services for All classes in 2021?,$114.0
"What was the average household expenditure on Camcorders, cameras, parts, accessories and related equipment for All classes in 2021?",$35.0
What was the average household expenditure on Photographic services for All classes in 2021?,$79.0
What was the average household expenditure on Other recreational equipment for All classes in 2021?,$nan
What was the average household expenditure on Home entertainment equipment and services for All classes in 2021?,$371.0
What was the average household expenditure on Home entertainment equipment for All classes in 2021?,$328.0
What was the average household expenditure on Audio equipment and home theatre systems for All classes in 2021?,$84.0
What was the average household expenditure on Video equipment for All classes in 2021?,$194.0
"What was the average household expenditure on DVD players, Blu-Ray players and other video equipment and accessories for All classes in 2021?",$25.0
What was the average household expenditure on Televisions for All classes in 2021?,$169.0
"What was the average household expenditure on Pre-recorded media, music downloads and blank audio and video media for All classes in 2021?",$50.0
What was the average household expenditure on Home entertainment services for All classes in 2021?,$44.0
"What was the average household expenditure on Rental of videotapes, DVDs and video games for All classes in 2021?",$1.0
"What was the average household expenditure on Rental, maintenance, repair and services related to computers, phones, audio, video and other electronic equipment for All classes in 2021?",$42.0
What was the average household expenditure on Recreational services for All classes in 2021?,$1168.0
What was the average household expenditure on Entertainment for All classes in 2021?,$654.0
What was the average household expenditure on Movie theatres for All classes in 2021?,$22.0
What was the average household expenditure on Live sporting and performing arts events for All classes in 2021?,$51.0
"What was the average household expenditure on Admission fees to museums, zoos and other sites for All classes in 2021?",$40.0
"What was the average household expenditure on Television and satellite radio services (including installation, service and pay TV charges) for All classes in 2021?",$542.0
What was the average household expenditure on Use of recreational facilities and fees for other recreational activities for All classes in 2021?,$308.0
What was the average household expenditure on Dues and fees for sports and recreational activities and athletic and recreational facilities for All classes in 2021?,$260.0
What was the average household expenditure on Children's camps for All classes in 2021?,$48.0
What was the average household expenditure on Package trips for All classes in 2021?,$161.0
What was the average household expenditure on Other recreational services for All classes in 2021?,$44.0
What was the average household expenditure on Recreational vehicles and associated services for All classes in 2021?,$1144.0
What was the average household expenditure on Purchase of recreational vehicles for All classes in 2021?,$838.0
What was the average household expenditure on Motorcycles and snowmobiles (purchase) for All classes in 2021?,$142.0
What was the average household expenditure on All-terrain vehicles (purchase) for All classes in 2021?,$88.0
What was the average household expenditure on Bicycles (purchase) for All classes in 2021?,$106.0
What was the average household expenditure on Other recreational vehicles (purchase) for All classes in 2021?,$501.0
What was the average household expenditure on Operation of recreational vehicles for All classes in 2021?,$306.0
What was the average household expenditure on Insurance premiums for recreational vehicles for All classes in 2021?,$67.0
What was the average household expenditure on Registration fees and licences for recreational vehicles for All classes in 2021?,$26.0
"What was the average household expenditure on Parking, storage fees and other dues for All classes in 2021?",$43.0
What was the average household expenditure on Other expenses for recreational vehicles for All classes in 2021?,$170.0
What was the average household expenditure on Education for All classes in 2021?,$1797.0
What was the average household expenditure on Tuition fees for All classes in 2021?,$1651.0
"What was the average household expenditure on Tuition fees for kindergarten, elementary and secondary schools for All classes in 2021?",$220.0
What was the average household expenditure on Tuition fees for university for All classes in 2021?,$943.0
"What was the average household expenditure on Tuition fees for other training (college, trade and professional institutions) for All classes in 2021?",$280.0
What was the average household expenditure on Other educational services for All classes in 2021?,$52.0
What was the average household expenditure on Personal interest courses and lessons (excluding driving lessons) for All classes in 2021?,$157.0
What was the average household expenditure on Textbooks and school supplies for All classes in 2021?,$146.0
What was the average household expenditure on Reading materials and other printed matter for All classes in 2021?,$199.0
What was the average household expenditure on Newspapers for All classes in 2021?,$24.0
What was the average household expenditure on Magazines and periodicals for All classes in 2021?,$18.0
What was the average household expenditure on Books and E-Books (excluding school books) for All classes in 2021?,$116.0
"What was the average household expenditure on Maps, sheet music and other printed matter for All classes in 2021?",$18.0
"What was the average household expenditure on Services related to reading materials (e.g. photocopying, library fees) for All classes in 2021?",$24.0
"What was the average household expenditure on Tobacco products, alcoholic beverages and cannabis for non-medical use for All classes in 2021?",$1803.0
What was the average household expenditure on Tobacco products and smokers' supplies for All classes in 2021?,$551.0
What was the average household expenditure on Cigarettes for All classes in 2021?,$494.0
"What was the average household expenditure on Other tobacco products, smokers' supplies and e-cigarettes for All classes in 2021?",$57.0
What was the average household expenditure on Cannabis for non-medical use for All classes in 2021?,$162.0
What was the average household expenditure on Alcoholic beverages for All classes in 2021?,$1091.0
What was the average household expenditure on Alcoholic beverages served on licensed premises and in restaurants for All classes in 2021?,$265.0
What was the average household expenditure on Alcoholic beverages purchased from stores for All classes in 2021?,$820.0
What was the average household expenditure on Self-made alcoholic beverages for All classes in 2021?,$nan
What was the average household expenditure on Games of chance for All classes in 2021?,$173.0
What was the average household expenditure on Government-run lotteries for All classes in 2021?,$147.0
What was the average household expenditure on Other games of chance for All classes in 2021?,$26.0
"What was the average household expenditure on Casinos, bingos and gaming machines for All classes in 2021?",$nan
What was the average household expenditure on Non-government lotteries and raffle tickets for All classes in 2021?,$9.0
What was the average household expenditure on Miscellaneous expenditures for All classes in 2021?,$1754.0
What was the average household expenditure on Financial services for All classes in 2021?,$694.0
What was the average household expenditure on Service charges for banks and other financial institutions for All classes in 2021?,$153.0
What was the average household expenditure on Administration fees for brokers and stock and bond commissions for All classes in 2021?,$331.0
What was the average household expenditure on Other financial services for All classes in 2021?,$210.0
What was the average household expenditure on Other miscellaneous goods and services for All classes in 2021?,$1060.0
What was the average household expenditure on Fines for All classes in 2021?,$46.0
What was the average household expenditure on Legal services not related to dwellings for All classes in 2021?,$188.0
What was the average household expenditure on Dues to unions and professional associations for All classes in 2021?,$330.0
What was the average household expenditure on Contributions and dues for social clubs and other organizations for All classes in 2021?,$45.0
What was the average household expenditure on Funeral services for All classes in 2021?,$129.0
What was the average household expenditure on Government services for All classes in 2021?,$35.0
What was the average household expenditure on Wholesale/retail memberships for All classes in 2021?,$99.0
What was the average household expenditure on Convenience fees for All classes in 2021?,$2.0
What was the average household expenditure on Other goods and services for All classes in 2021?,$nan
What was the average household expenditure on Discounts and refunds for All classes in 2021?,$-12.0
What was the average household expenditure on Recycling fees and other environmental fees for All classes in 2021?,$8.0
What was the average household expenditure on Other general expenditures for All classes in 2021?,$nan
What was the average household expenditure on Income taxes for All classes in 2021?,$18181.0
What was the average household expenditure on Personal insurance payments and pension contributions for All classes in 2021?,$5519.0
What was the average household expenditure on Employment insurance and Quebec parental insurance premiums for All classes in 2021?,$670.0
What was the average household expenditure on Retirement and pension fund payments for All classes in 2021?,$4229.0
"What was the average household expenditure on Premiums on life, term and endowment insurance for All classes in 2021?",$620.0
"What was the average household expenditure on Gifts of money, support payments and charitable contributions for All classes in 2021?",$1674.0
What was the average household expenditure on Gifts of money and support payments for All classes in 2021?,$948.0
What was the average household expenditure on Gifts of money to persons living in Canada for All classes in 2021?,$479.0
What was the average household expenditure on Gifts of money to persons living outside Canada for All classes in 2021?,$202.0
What was the average household expenditure on Alimony and child support for All classes in 2021?,$267.0
What was the average household expenditure on Charitable contributions for All classes in 2021?,$726.0
"What was the average household expenditure on Total expenditure for Population centre 1,000,000 and over in 2021?",$101199.0
"What was the average household expenditure on Total current consumption for Population centre 1,000,000 and over in 2021?",$72451.0
"What was the average household expenditure on Food expenditures for Population centre 1,000,000 and over in 2021?",$10834.0
"What was the average household expenditure on Food purchased from stores for Population centre 1,000,000 and over in 2021?",$8252.0
"What was the average household expenditure on Bakery products for Population centre 1,000,000 and over in 2021?",$698.0
"What was the average household expenditure on Cereal grains and cereal products for Population centre 1,000,000 and over in 2021?",$451.0
"What was the average household expenditure on Fruit, fruit preparations and nuts for Population centre 1,000,000 and over in 2021?",$1117.0
"What was the average household expenditure on Vegetables and vegetable preparations for Population centre 1,000,000 and over in 2021?",$1023.0
"What was the average household expenditure on Dairy products and eggs for Population centre 1,000,000 and over in 2021?",$1135.0
"What was the average household expenditure on Meat for Population centre 1,000,000 and over in 2021?",$1571.0
"What was the average household expenditure on Fish and seafood for Population centre 1,000,000 and over in 2021?",$377.0
"What was the average household expenditure on Non-alcoholic beverages and other food products for Population centre 1,000,000 and over in 2021?",$1882.0
"What was the average household expenditure on Ready-to-cook meal delivery services for Population centre 1,000,000 and over in 2021?",$62.0
"What was the average household expenditure on Food purchased from restaurants for Population centre 1,000,000 and over in 2021?",$2519.0
"What was the average household expenditure on Restaurant meals for Population centre 1,000,000 and over in 2021?",$2257.0
"What was the average household expenditure on Restaurant snacks and beverages for Population centre 1,000,000 and over in 2021?",$262.0
"What was the average household expenditure on Shelter for Population centre 1,000,000 and over in 2021?",$24467.0
"What was the average household expenditure on Principal accommodation for Population centre 1,000,000 and over in 2021?",$22702.0
"What was the average household expenditure on Rented living quarters for Population centre 1,000,000 and over in 2021?",$5486.0
"What was the average household expenditure on Rent for Population centre 1,000,000 and over in 2021?",$5315.0
"What was the average household expenditure on Tenants' repairs and improvements for Population centre 1,000,000 and over in 2021?",$44.0
"What was the average household expenditure on Tenants' insurance premiums for Population centre 1,000,000 and over in 2021?",$93.0
"What was the average household expenditure on Parking at rented living quarters (excluding amounts reported with rent) for Population centre 1,000,000 and over in 2021?",$34.0
"What was the average household expenditure on Owned living quarters for Population centre 1,000,000 and over in 2021?",$14680.0
"What was the average household expenditure on Mortgage paid for owned living quarters for Population centre 1,000,000 and over in 2021?",$8403.0
"What was the average household expenditure on Repairs and maintenance for owned living quarters for Population centre 1,000,000 and over in 2021?",$858.0
"What was the average household expenditure on Condominium fees for owned living quarters for Population centre 1,000,000 and over in 2021?",$796.0
"What was the average household expenditure on Property and school taxes for owned living quarters for Population centre 1,000,000 and over in 2021?",$2615.0
"What was the average household expenditure on Homeowners' insurance premiums for owned living quarters for Population centre 1,000,000 and over in 2021?",$898.0
"What was the average household expenditure on Other expenditures for owned living quarters for Population centre 1,000,000 and over in 2021?",$1110.0
"What was the average household expenditure on Commissions for sale of real estate owned by the household for Population centre 1,000,000 and over in 2021?",$301.0
"What was the average household expenditure on Legal fees related to owned living quarters for Population centre 1,000,000 and over in 2021?",$110.0
"What was the average household expenditure on Mortgage insurance premiums for owned living quarters for Population centre 1,000,000 and over in 2021?",$250.0
"What was the average household expenditure on Registration fees, renewal fees and early renewal or closing penalties for owned living quarters for Population centre 1,000,000 and over in 2021?",$73.0
"What was the average household expenditure on Transfer taxes and land registration fees for owned living quarters for Population centre 1,000,000 and over in 2021?",$303.0
"What was the average household expenditure on All other expenses related to owned living quarters (excluding repairs and maintenance) for Population centre 1,000,000 and over in 2021?",$73.0
"What was the average household expenditure on Water, fuel and electricity for principal accommodation for Population centre 1,000,000 and over in 2021?",$2535.0
"What was the average household expenditure on Water and sewage for principal accommodation for Population centre 1,000,000 and over in 2021?",$525.0
"What was the average household expenditure on Electricity for principal accommodation for Population centre 1,000,000 and over in 2021?",$1300.0
"What was the average household expenditure on Natural gas for principal accommodation for Population centre 1,000,000 and over in 2021?",$624.0
"What was the average household expenditure on Other fuel for principal accommodation for Population centre 1,000,000 and over in 2021?",$86.0
"What was the average household expenditure on Other accommodation for Population centre 1,000,000 and over in 2021?",$1765.0
"What was the average household expenditure on Owned secondary residences for Population centre 1,000,000 and over in 2021?",$832.0
"What was the average household expenditure on Mortgage paid for owned secondary residences for Population centre 1,000,000 and over in 2021?",$271.0
"What was the average household expenditure on Property and school taxes, water and sewage charges for owned secondary residences for Population centre 1,000,000 and over in 2021?",$184.0
"What was the average household expenditure on Insurance premiums for owned secondary residences for Population centre 1,000,000 and over in 2021?",$59.0
"What was the average household expenditure on Electricity and fuel (e.g. natural gas and wood) for owned secondary residences for Population centre 1,000,000 and over in 2021?",$52.0
"What was the average household expenditure on Communication and home security services (e.g. landline telephone, television, satellite radio and Internet) for owned secondary residences for Population centre 1,000,000 and over in 2021?",$24.0
"What was the average household expenditure on Other expenses for owned secondary residences for Population centre 1,000,000 and over in 2021?",$241.0
"What was the average household expenditure on Other owned properties for Population centre 1,000,000 and over in 2021?",$481.0
"What was the average household expenditure on Accommodation away from home for Population centre 1,000,000 and over in 2021?",$453.0
"What was the average household expenditure on Hotels and motels for Population centre 1,000,000 and over in 2021?",$222.0
"What was the average household expenditure on Other accommodation away from home for Population centre 1,000,000 and over in 2021?",$230.0
"What was the average household expenditure on Household operations for Population centre 1,000,000 and over in 2021?",$5758.0
"What was the average household expenditure on Communications for Population centre 1,000,000 and over in 2021?",$3108.0
"What was the average household expenditure on Telephone for Population centre 1,000,000 and over in 2021?",$1893.0
"What was the average household expenditure on Landline telephone services for Population centre 1,000,000 and over in 2021?",$184.0
"What was the average household expenditure on Cell phone and pager services for Population centre 1,000,000 and over in 2021?",$1371.0
