question,answer
Tell me about Basic Inquiry.,"Basic Inquiry is located at 1011 Main St, Vancouver, BC, V6A 4L4. It is in the Downtown area. It is a Museum/Gallery primarily used for Museum/Gallery. The space is owned by Privately Owned. It is currently active. You can find more information at: http://www.lifedrawing.org/index.html."
Tell me about Bau-Xi Gallery.,"Bau-Xi Gallery is located at 3045 Granville St, Vancouver, BC, V6H 3J9. It is in the Fairview area. It is a Museum/Gallery primarily used for Museum/Gallery. The space is owned by Privately Owned. It is currently active. You can find more information at: www.bau-xi.com."
Tell me about Bill Reid Gallery.,"Bill Reid Gallery is located at 639 Hornby St, Vancouver, BC, V6C 2G3. It is in the Downtown area. It is a Museum/Gallery primarily used for Museum/Gallery. The space is owned by Privately Owned. It is currently active. You can find more information at: www.billreidgallery.ca."
Tell me about Biltmore Cabaret.,"Biltmore Cabaret is located at 2755 Prince Edward St, Vancouver, BC, V5T 0A9. It is in the Mount Pleasant area. It is a Cafe/Restaurant/Bar primarily used for Bar/Lounge/Cabaret. The space is owned by Privately Owned. It is currently active. You can find more information at: www.biltmorecabaret.com?."
Tell me about Bloedel Conservatory.,"Bloedel Conservatory is located at 4600 Cambie St, Vancouver, BC, V5Y 2M5. It is in the Riley Park area. It is a Museum/Gallery primarily used for Garden/Aquarium/Science Centre. The space is owned by Vancouver Park Board/COV. It is currently active. You can find more information at: http://vancouver.ca/parks-recreation-culture/bloedel-conservatory.aspx."
Tell me about BMO Theatre Centre - Workshop.,"BMO Theatre Centre - Workshop is located at 162 W 1st Av, Vancouver, BC, V5Y 1A4. It is in the Mount Pleasant area. It is a Studio/Rehearsal primarily used for Workshop. The space is owned by City of Vancouver. It is currently active."
Tell me about Burrard Marina Field House.,"Burrard Marina Field House is located at 1655 Whyte Av, Vancouver, BC, V6J 1A9. It is in the Kitsilano area. It is a Studio/Rehearsal primarily used for Artist Studio. The space is owned by Vancouver Park Board/COV. It is currently active. You can find more information at: http://vancouver.ca/parks-recreation-culture/burrard-marina-fieldhouse.aspx."
Tell me about Burrardview Park Fieldhouse.,"Burrardview Park Fieldhouse is located at 650 North Penticton st, Vancouver, BC, V6G 1Z4. It is in the Hastings-Sunrise area. It is a Studio/Rehearsal primarily used for Artist Studio. The space is owned by Vancouver Park Board/COV. It is currently active. You can find more information at: http://vancouver.ca/parks-recreation-culture/fieldhouse-programs.aspx."
Tell me about Cafe Deux Soleils.,"Cafe Deux Soleils is located at 2096 Commercial Dr, Vancouver, BC, V5N 4B2. It is in the Grandview-Woodland area. It is a Cafe/Restaurant/Bar primarily used for Cafe/Restaurant. The space is owned by Privately Owned. It is currently active. You can find more information at: www.cafedeuxsoleils.com/?."
Tell me about Cambrian Hall.,"Cambrian Hall is located at 215 E 17th Av, Vancouver, BC, V5V 1A6. It is in the Riley Park area. It is a Community Space primarily used for Community Centre/Hall. The space is owned by Privately Owned. It has 129 seats. It is currently active. You can find more information at: http://www.welshsociety.com/Lab5/."
Tell me about Canadian Memorial United Church and Centre for Peace.,"Canadian Memorial United Church and Centre for Peace is located at 1825 W 16th Av, Vancouver, BC, V6J 2M3. It is in the Kitsilano area. It is a Community Space primarily used for Place of Worship. The space is owned by Other. It has 100 seats. It is currently active. You can find more information at: http://canadianmemorial.org/."
Tell me about Carousel Theatre for Young People.,"Carousel Theatre for Young People is located at 1411 Cartwright St, Vancouver, BC, V6H 3R7. It is in the Fairview area. It is a Studio/Rehearsal primarily used for Rehearsal Studio. The space is owned by Government. It is currently active. You can find more information at: www.carouseltheatre.ca."
Tell me about CBC Outdoor Stage.,"CBC Outdoor Stage is located at 700 Hamilton St, Vancouver, BC, V6B 2R5. It is in the Downtown area. It is a Community Space primarily used for Plaza/Park/Band Shell. The space is owned by Government. It is currently active. You can find more information at: http://www.cbc.ca."
Tell me about Centre Culturel Francophone de Vancouver.,"Centre Culturel Francophone de Vancouver is located at 1551 W 7th Av, Vancouver, BC, V6J 1S1. It is in the Fairview area. It is a Community Space primarily used for Community Centre/Hall. The space is owned by Privately Owned. It is currently active. You can find more information at: www.lecentreculturel.com?."
Tell me about Ceperley Meadow.,"Ceperley Meadow is located at Stanley Park, Vancouver, BC. It is in the Stanley Park area. It is a Community Space primarily used for Plaza/Park/Band Shell. The space is owned by City of Vancouver. It is currently active."
Tell me about Charles H. Scott Gallery.,"Charles H. Scott Gallery is located at 1399 Johnston St, Vancouver, BC, V6H 2R9. It is in the Fairview area. It is a Museum/Gallery primarily used for Museum/Gallery. The space is owned by Government. It is currently active. You can find more information at: www.chscott.ecuad.ca?."
Tell me about China Cloud.,"China Cloud is located at 524 Main St, Vancouver, BC, V6A 2T9. It is in the Strathcona area. It is a Studio/Rehearsal primarily used for Artist Studio. The space is owned by Privately Owned. It is currently active. You can find more information at: https://www.facebook.com/liveatthechinacloud/."
Tell me about Chinese Cultural Centre.,"Chinese Cultural Centre is located at 50 E Pender St, Vancouver, BC, V6A 3V6. It is in the Downtown area. It is a Community Space primarily used for Community Centre/Hall. The space is owned by City of Vancouver. It is currently active. You can find more information at: www.cccvan.com?."
Tell me about Chinese Cultural Centre Museum and Archives.,"Chinese Cultural Centre Museum and Archives is located at 555 Columbia St, Vancouver, BC, V6A 4H5. It is in the Downtown area. It is a Museum/Gallery primarily used for Museum/Gallery. The space is owned by City of Vancouver. It is currently active."
Tell me about Cineplex Odeon International Village Cinemas.,"Cineplex Odeon International Village Cinemas is located at 88 W Pender St, Vancouver, BC, V6B 6N9. It is in the Downtown area. It is a Theatre/Performance primarily used for Cinema. The space is owned by Privately Owned. It is currently active. You can find more information at: http://www.cineplex.com/Theatre/Cineplex-Odeon-International-Village-Cinemas."
Tell me about Cineworks.,"Cineworks is located at 1131 Howe St, Vancouver, BC, V6Z 2L7. It is in the Downtown area. It is a Studio/Rehearsal primarily used for Film/Recording Studio. The space is owned by City of Vancouver. It is currently active. You can find more information at: http://www.cineworks.ca."
Tell me about City of Vancouver Archives.,"City of Vancouver Archives is located at 1150 Chestnut St, Vancouver, BC, V6J 3J9. It is in the Kitsilano area. It is a Museum/Gallery primarily used for Library/Archives. The space is owned by City of Vancouver. It is currently active. You can find more information at: www.vancouver.cayour-government/city-of-vancouver-archives.aspx?."
Tell me about Clayzone Ceramics Gallery.,"Clayzone Ceramics Gallery is located at 661 E 15th Av, Vancouver, BC,. It is in the Mount Pleasant area. It is a Educational primarily used for Educational Institution. The space is owned by Privately Owned. It is currently active. You can find more information at: www.clayzoneceramics.com."
Tell me about Coastal Peoples Fine Arts Gallery Gastown.,"Coastal Peoples Fine Arts Gallery Gastown is located at 312 Water St, Vancouver, BC, V6B 1B6. It is in the Downtown area. It is a Museum/Gallery primarily used for Museum/Gallery. The space is owned by Privately Owned. It is currently active. You can find more information at: http://www.coastalpeoples.com."
Tell me about Coastal Peoples Fine Arts Gallery Yaletown.,"Coastal Peoples Fine Arts Gallery Yaletown is located at 1024 Mainland St, Vancouver, BC, V6B 2T4. It is in the Downtown area. It is a Museum/Gallery primarily used for Museum/Gallery. The space is owned by Privately Owned. It is currently active. You can find more information at: http://www.coastalpeoples.com."
Tell me about Cottage Bistro.,"Cottage Bistro is located at 4470 Main St, Vancouver, BC, V5V 3R3. It is in the Riley Park area. It is a Cafe/Restaurant/Bar primarily used for Bar/Lounge/Cabaret. The space is owned by Privately Owned. It has 80 seats. It is currently active. You can find more information at: http://cottage-bistro.com/."
Tell me about Craft Council of British Columbia Gallery.,"Craft Council of British Columbia Gallery is located at 1386 Cartwright St, Vancouver, BC, V6H 3R8. It is in the Fairview area. It is a Museum/Gallery primarily used for Museum/Gallery. The space is owned by Government. It is currently active. You can find more information at: www.craftcouncilbc.ca."
Tell me about Creekside Park.,"Creekside Park is located at 1455 Quebec St, Vancouver, BC, V6A 3Z7. It is in the Downtown area. It is a Community Space primarily used for Plaza/Park/Band Shell. The space is owned by City of Vancouver. It is currently active."
Tell me about Crystal Ballroom.,"Crystal Ballroom is located at 768 SW Marine Dr, Vancouver, BC, V6P 5Y7. It is in the Marpole area. It is a Educational primarily used for Educational Institution. The space is owned by Privately Owned. It is currently active. You can find more information at: www.crystalballrom.ca."
Tell me about David Lam Park.,"David Lam Park is located at 1300 Pacific Blvd, Vancouver, BC, V6Z 2V1. It is in the Downtown area. It is a Community Space primarily used for Plaza/Park/Band Shell. The space is owned by City of Vancouver. It is currently active."
Tell me about DeSerres.,"DeSerres is located at 1431 W Broadway St, Vancouver, BC, V6H 1H6. It is in the Hastings-Sunrise area. It is a Other primarily used for Retail. The space is owned by Privately Owned. It is currently active. You can find more information at: http://www.deserres.ca/."
Tell me about Djavad Mowafaghian Cinema.,"Djavad Mowafaghian Cinema is located at 149 W Hastings St, Vancouver, BC, V6B 1H4. It is in the Downtown area. It is a Theatre/Performance primarily used for Cinema. The space is owned by Other. It has 350 seats. It is currently active. You can find more information at: http://www.sfu.ca/mecs/facilities/goldcorp-centre-for-the-arts/meeting-rooms/djavadmowafaghian.html."
Tell me about Doctor Vigari Gallery.,"Doctor Vigari Gallery is located at 1816 Commercial Dr, Vancouver, BC, V5N 4A3. It is in the Grandview-Woodland area. It is a Museum/Gallery primarily used for Museum/Gallery. The space is owned by Privately Owned. It is currently active. You can find more information at: www.doctorvigarigallery.com."
Tell me about Dr. Sun Yat-Sen Classical Chinese Garden.,"Dr. Sun Yat-Sen Classical Chinese Garden is located at 578 Carrall St, Vancouver, BC, V6B 5K2. It is in the Downtown area. It is a Museum/Gallery primarily used for Garden/Aquarium/Science Centre. The space is owned by City of Vancouver. It is currently active. You can find more information at: www.vancouverchinesegarden.com?."
Tell me about Eagle Spirit Gallery.,"Eagle Spirit Gallery is located at 1803 Maritime Mews, Vancouver, BC, V6H 3W7. It is in the Fairview area. It is a Museum/Gallery primarily used for Museum/Gallery. The space is owned by Privately Owned. It is currently active. You can find more information at: www.eaglespiritgallery.com."
Tell me about Elm Park Field House.,"Elm Park Field House is located at 5800 Elm St, Vancouver, BC, V6N 1A3. It is in the Kerrisdale area. It is a Studio/Rehearsal primarily used for Artist Studio. The space is owned by Vancouver Park Board/COV. It is currently active. You can find more information at: http://vancouver.ca/parks-recreation-culture/elm-park-fieldhouse.aspx."
Tell me about Falaise Park Field House.,"Falaise Park Field House is located at 3434 Falaise Av, Vancouver, BC, V5M 4C1. It is in the Renfrew-Collingwood area. It is a Studio/Rehearsal primarily used for Artist Studio. The space is owned by Vancouver Park Board/COV. It is currently active. You can find more information at: http://vancouver.ca/parks-recreation-culture/falaise-park-fieldhouse.aspx."
Tell me about Fortune Sound Club.,"Fortune Sound Club is located at 147 E Pender St, Vancouver, BC, V6A 1T5. It is in the Downtown area. It is a Theatre/Performance primarily used for Performance Space. The space is owned by Privately Owned. It is currently active. You can find more information at: http://www.fortunesoundclub.com/."
Tell me about Fox Cabaret.,"Fox Cabaret is located at 2321 Main St, Vancouver, BC, V5T 3C9. It is in the Mount Pleasant area. It is a Cafe/Restaurant/Bar primarily used for Bar/Lounge/Cabaret. The space is owned by Privately Owned. It is currently active. You can find more information at: http://www.foxcabaret.com/."
Tell me about Gam Gallery.,"Gam Gallery is located at 110 E Hastings St, Vancouver, BC, V6N 1N4. It is in the Downtown area. It is a Museum/Gallery primarily used for Museum/Gallery. The space is owned by Privately Owned. It is currently active. You can find more information at: http://gamgallery.com/contact/."
Tell me about GMS Observatory.,"GMS Observatory is located at 1100 Chestnut St, Vancouver, BC, V6J 3J9. It is in the Kitsilano area. It is a Museum/Gallery primarily used for Garden/Aquarium/Science Centre. The space is owned by City of Vancouver. It is currently active. You can find more information at: http://www.spacecentre.ca/gms."
Tell me about Goh Ballet Academy.,"Goh Ballet Academy is located at 2345 Main St, Vancouver, BC, V5T 3C9. It is in the Mount Pleasant area. It is a Educational primarily used for Educational Institution. The space is owned by Privately Owned. It is currently active. You can find more information at: www.gohballet.com."
Tell me about Granville Island Gallery.,"Granville Island Gallery is located at 1494 Old Bridge St, Vancouver, BC, V6H 3S6. It is in the Fairview area. It is a Museum/Gallery primarily used for Museum/Gallery. The space is owned by Government. It is currently active. You can find more information at: www.granvilleislandgallery.com?."
Tell me about Granville Street/ Entertainment District.,"Granville Street/ Entertainment District is located at 700 - 1300  Granville St, Vancouver, BC, V6Z 1M7. It is in the Downtown area. It is a Community Space primarily used for Plaza/Park/Band Shell. The space is owned by City of Vancouver. It is currently active."
Tell me about Great Northern Way Scene Shop.,"Great Northern Way Scene Shop is located at 281 Industrial, Vancouver, BC, V5A 2P2. It is in the Strathcona area. It is a Studio/Rehearsal primarily used for Workshop. The space is owned by City of Vancouver. It is currently active. You can find more information at: www.gnwshop.ca?."
Tell me about Hadden Park Field House.,"Hadden Park Field House is located at 1015 Maple St, Vancouver, BC, V6J 3R4. It is in the Kitsilano area. It is a Studio/Rehearsal primarily used for Artist Studio. The space is owned by Vancouver Park Board/COV. It is currently active. You can find more information at: http://vancouver.ca/parks-recreation-culture/hadden-park-fieldhouse.aspx."
Tell me about Havana Theatre.,"Havana Theatre is located at 1212 Commercial Dr, Vancouver, BC, V5L 3X4. It is in the Grandview-Woodland area. It is a Theatre/Performance primarily used for Theatre. The space is owned by Privately Owned. It has 60 seats. It is currently active. You can find more information at: www.havanarestaurant.ca."
Tell me about Haywood Bandstand.,"Haywood Bandstand is located at 1755 Beach Av, Vancouver, BC,. It is in the West End area. It is a Community Space primarily used for Plaza/Park/Band Shell. The space is owned by Vancouver Park Board/COV. It is currently active."
Tell me about Hfour Design Studio.,"Hfour Design Studio is located at 120 Princess Av, Vancouver, BC, V6A 3C3. It is in the Strathcona area. It is a Studio/Rehearsal primarily used for Artist Studio. The space is owned by Privately Owned. It is currently active. You can find more information at: https://hfour.ca/."
Tell me about Hillcrest Centre.,"Hillcrest Centre is located at 4575 Clancy Loranger Way, Vancouver, BC, V5Y 2M4. It is in the Riley Park area. It is a Community Space primarily used for Community Centre/Hall. The space is owned by Vancouver Park Board/COV. It is currently active. You can find more information at: http://vancouver.ca/parks-recreation-culture/hillcrest-centre.aspx."
Tell me about Holy Trinity Ukrainian Orthodox Cathedral.,"Holy Trinity Ukrainian Orthodox Cathedral is located at 154 E 10th Av, Vancouver, BC, V5T 1Z4. It is in the Mount Pleasant area. It is a Community Space primarily used for Place of Worship. The space is owned by Other. It has 250 seats. It is currently active. You can find more information at: http://uocvancouver.com/."
Tell me about Ian Tan Gallery.,"Ian Tan Gallery is located at 2342 Granville St, Vancouver, BC, V6H 3G3. It is in the Fairview area. It is a Museum/Gallery primarily used for Museum/Gallery. The space is owned by Privately Owned. It is currently active. You can find more information at: www.iantangallery.com?."
Tell me about Ice Box Gallery.,"Ice Box Gallery is located at 321 Railway St, Vancouver, BC, V6A 1A4. It is in the Strathcona area. It is a Museum/Gallery primarily used for Museum/Gallery. The space is owned by Privately Owned. It is currently active. You can find more information at: http://www.iceboxgallery.com."
Tell me about Il Centro - Italian Cultural Centre.,"Il Centro - Italian Cultural Centre is located at 3075 Slocan St, Vancouver, BC, V5M 3E4. It is in the Renfrew-Collingwood area. It is a Community Space primarily used for Community Centre/Hall. The space is owned by Non-Profit. It is currently active. You can find more information at: www.italianculturalcentre.ca?."
Tell me about Il Museo.,"Il Museo is located at 3075 Slocan St, Vancouver, BC, V5M 3E4. It is in the Renfrew-Collingwood area. It is a Museum/Gallery primarily used for Museum/Gallery. The space is owned by Non-Profit. It is currently active. You can find more information at: https://italianculturalcentre.ca/events/museum-art-gallery/."
Tell me about Improv Centre.,"Improv Centre is located at 1502 Duranleau St, Vancouver, BC, V6H 3S4. It is in the Fairview area. It is a Theatre/Performance primarily used for Performance Space. The space is owned by Government. It has 186 seats. It is currently active. You can find more information at: www.vtsl.com."
Tell me about Interurban Gallery.,"Interurban Gallery is located at 1 E Hastings St, Vancouver, BC, V6A 1M9. It is in the Downtown area. It is a Museum/Gallery primarily used for Museum/Gallery. The space is owned by Privately Owned. It is currently active."
Tell me about Jennifer Kostuik Gallery.,"Jennifer Kostuik Gallery is located at 1070 Homer St, Vancouver, BC, V6B 2W9. It is in the Downtown area. It is a Museum/Gallery primarily used for Museum/Gallery. The space is owned by Privately Owned. It is currently active. You can find more information at: www.kostuikgallery.com?."
Tell me about Jericho Arts Centre.,"Jericho Arts Centre is located at 1675 Discovery St, Vancouver, BC, V6R 2K5. It is in the West Point Grey area. It is a Theatre/Performance primarily used for Theatre. The space is owned by Vancouver Park Board/COV. It has 135 seats. It is currently active. You can find more information at: www.jerichoartscentre.com?."
Tell me about Jericho Beach.,"Jericho Beach is located at 3941 Point Grey Rd., Vancouver, BC, V6R 1B5. It is in the West Point Grey area. It is a Community Space primarily used for Plaza/Park/Band Shell. The space is owned by City of Vancouver. It is currently active."
Tell me about Jewish Community Centre.,"Jewish Community Centre is located at 950 W 41st Av, Vancouver, BC, V5Z 2N7. It is in the Oakridge area. It is a Community Space primarily used for Community Centre/Hall. The space is owned by Non-Profit. It is currently active. You can find more information at: www.jewishmuseum.ca?."
Tell me about John Oliver Secondary.,"John Oliver Secondary is located at 530 E 41st Av, Vancouver, BC, V5W 1P3. It is in the Sunset area. It is a Educational primarily used for Educational Institution. The space is owned by Government. It is currently active. You can find more information at: http://go.vsb.bc.ca/schools/johnoliver/Pages/default.aspx."
Tell me about Joy Kogawa House.,"Joy Kogawa House is located at 1450 W 64th Av, Vancouver, BC, V6P 2N4. It is in the Marpole area. It is a Studio/Rehearsal primarily used for Artist Studio. The space is owned by City of Vancouver. It is currently active. You can find more information at: http://www.kogawahouse.com."
Tell me about KW Production Studio.,"KW Production Studio is located at 351 Abbott St, Vancouver, BC, V6B 0G6. It is in the Downtown area. It is a Studio/Rehearsal primarily used for Rehearsal Studio. The space is owned by Other. It is currently active. You can find more information at: http://www.kwstudios.ca/production-studio/."
Tell me about Lobby Gallery.,"Lobby Gallery is located at 6476 NW Marine Dr, Vancouver, BC,. It is in the UBC area. It is a Museum/Gallery primarily used for Museum/Gallery. The space is owned by Other. It is currently active. You can find more information at: http://www.ligi.ubc.ca/LobbyGallery.htm."
Tell me about Lumbermen's Arch.,"Lumbermen's Arch is located at Stanley Park, Vancouver, BC. It is in the Stanley Park area. It is a Community Space primarily used for Plaza/Park/Band Shell. The space is owned by City of Vancouver. It is currently active."
Tell me about Maclean Field House.,"Maclean Field House is located at 710 Keefer St, Vancouver, BC, V6A 1Y5. It is in the Strathcona area. It is a Studio/Rehearsal primarily used for Artist Studio. The space is owned by Vancouver Park Board/COV. It is currently active. You can find more information at: http://vancouver.ca/parks-recreation-culture/urban-weavers-artists-and-scientist.aspx."
Tell me about Metro Theatre Workshop and Rehearsal Hall.,"Metro Theatre Workshop and Rehearsal Hall is located at 8960 Oak St, Vancouver, BC, V6P 4B7. It is in the Marpole area. It is a Studio/Rehearsal primarily used for Rehearsal Studio. The space is owned by Privately Owned. It is currently active."
Tell me about Mount Pleasant Community Centre.,"Mount Pleasant Community Centre is located at 1 Kingsway, Vancouver, BC, V5T 3H7. It is in the Mount Pleasant area. It is a Community Space primarily used for Community Centre/Hall. The space is owned by Vancouver Park Board/COV. It is currently active. You can find more information at: http://www.mountpleasantcc.ca/."
Tell me about Musqueam Cultural Education Resource Centre.,"Musqueam Cultural Education Resource Centre is located at 4000 Musqueam Av, Vancouver, BC, V6N 4C6. It is in the Dunbar-Southlands area. It is a Community Space primarily used for Community Centre/Hall. The space is owned by Other. It is currently active. You can find more information at: http://www.musqueam.bc.ca/."
Tell me about New Leaf Editions.,"New Leaf Editions is located at 1370 Cartwright St, Vancouver, BC, V6H 3R7. It is in the Fairview area. It is a Studio/Rehearsal primarily used for Workshop. The space is owned by Privately Owned. It is currently active. You can find more information at: www.newleafeditions.com?."
Tell me about Norman Rothstein Theatre.,"Norman Rothstein Theatre is located at 950 W 41st Av, Vancouver, BC, V5Z 2N7. It is in the Oakridge area. It is a Theatre/Performance primarily used for Theatre. The space is owned by Privately Owned. It has 318 seats. It is currently active. You can find more information at: www.normanrothsteintheatre.com?."
Tell me about O'Brian Centre for Vancouver Opera.,"O'Brian Centre for Vancouver Opera is located at 1945 Mclean Dr, Vancouver, BC, V5N 3J7. It is in the Grandview-Woodland area. It is a Studio/Rehearsal primarily used for Rehearsal Studio. The space is owned by Privately Owned. It is currently active. You can find more information at: www.vancouveropera.ca."
Tell me about Oko Dance Vancouver.,"Oko Dance Vancouver is located at 45 W Hastings St, Vancouver, BC, V6B 1G4. It is in the Downtown area. It is a Educational primarily used for Educational Institution. The space is owned by Privately Owned. It is currently active. You can find more information at: http://www.okodancevancouver.com/."
Tell me about Old Auditorium.,"Old Auditorium is located at 6344 Memorial Rd, Vancouver, BC, V6T 1Z2. It is in the UBC area. It is a Theatre/Performance primarily used for Theatre. The space is owned by Government. It has 530 seats. It is currently active. You can find more information at: http://www.music.ubc.ca/about-us/facilities/old-auditorium.html."
Tell me about Opus Art Supplies.,"Opus Art Supplies is located at 1360 Johnston St, Vancouver, BC, V6H 3S1. It is in the Fairview area. It is a Other primarily used for Retail. The space is owned by Privately Owned. It is currently active. You can find more information at: http://opusartsupplies.com."
Tell me about Pacific Cinematheque.,"Pacific Cinematheque is located at 1131 Howe St, Vancouver, BC, V6Z 2L7. It is in the Downtown area. It is a Theatre/Performance primarily used for Cinema. The space is owned by City of Vancouver. It has 194 seats. It is currently active. You can find more information at: http://www.thecinematheque.caabout."
Tell me about Pacific Theatre.,"Pacific Theatre is located at 1440 W 12th Av, Vancouver, BC, V6H 1M8. It is in the Fairview area. It is a Theatre/Performance primarily used for Theatre. The space is owned by Privately Owned. It has 128 seats. It is currently active. You can find more information at: www.pacifictheatre.org?."
Tell me about Pandora's Box Rehearsal Studios.,"Pandora's Box Rehearsal Studios is located at 1890 Pandora St, Vancouver, BC, V5L 1M5. It is in the Grandview-Woodland area. It is a Studio/Rehearsal primarily used for Film/Recording Studio. The space is owned by Privately Owned. It is currently active. You can find more information at: http://www.pandorasboxstudios.com/."
Tell me about Parker Street Studios.,"Parker Street Studios is located at 1000 Parker St, Vancouver, BC, V6A 2H2. It is in the Strathcona area. It is a Studio/Rehearsal primarily used for Artist Studio. The space is owned by Privately Owned. It is currently active."
Tell me about Performance Works.,"Performance Works is located at 1218 Cartwright St, Vancouver, BC, V6H 3R8. It is in the Fairview area. It is a Theatre/Performance primarily used for Performance Space. The space is owned by Government. It has 350 seats. It is currently active. You can find more information at: www.performanceworks.ca."
Tell me about Peter Kiss Gallery.,"Peter Kiss Gallery is located at 1327 Railspur Alley, Vancouver, BC, V6H 4G9. It is in the Fairview area. It is a Museum/Gallery primarily used for Museum/Gallery. The space is owned by Privately Owned. It is currently active. You can find more information at: www.peterkiss.com."
Tell me about Plaza of Nations.,"Plaza of Nations is located at 750 Pacific Blvd, Vancouver, BC, V6B 5E7. It is in the Downtown area. It is a Community Space primarily used for Plaza/Park/Band Shell. The space is owned by Privately Owned. It is currently active. You can find more information at: www.plazaofnations.com?."
Tell me about PNE Pacific Coliseum.,"PNE Pacific Coliseum is located at 100 Renfrew St, Vancouver, BC, V5K 3N7. It is in the Hastings-Sunrise area. It is a Community Space primarily used for Arena/Stadium. The space is owned by City of Vancouver. It has 15713 seats. It is currently active. You can find more information at: www.pne.ca."
Tell me about Portside Studios.,"Portside Studios is located at 150 McLean Dr, Vancouver, BC, V5L 3L1. It is in the Grandview-Woodland area. It is a Studio/Rehearsal primarily used for Artist Studio. The space is owned by Privately Owned. It is currently active."
Tell me about Praxis Centre for Screenwriting.,"Praxis Centre for Screenwriting is located at 149 W Hastings St, Vancouver, BC, V6B 1H4. It is in the Downtown area. It is a Studio/Rehearsal primarily used for Film/Recording Studio. The space is owned by Other. It is currently active. You can find more information at: http://www.praxisfilm.com/en/default.aspx."
Tell me about Queen Elizabeth Theatre.,"Queen Elizabeth Theatre is located at 650 Hamilton St, Vancouver, BC, V6B 5N6. It is in the Downtown area. It is a Theatre/Performance primarily used for Theatre. The space is owned by City of Vancouver. It has 2765 seats. It is currently active. You can find more information at: http://vancouver.caparks-recreation-culture/queen-elizabeth-theatre.aspx."
Tell me about Railway Club.,"Railway Club is located at 579 Dunsmuir St, Vancouver, BC, V6B 1Y4. It is in the Downtown area. It is a Cafe/Restaurant/Bar primarily used for Bar/Lounge/Cabaret. The space is owned by Privately Owned. It has 165 seats. It is currently active. You can find more information at: www.therailwayclub.com."
Tell me about Rath Art Supplies.,"Rath Art Supplies is located at 2412 Main St, Vancouver, BC, V5T 3E2. It is in the Mount Pleasant area. It is a Other primarily used for Retail. The space is owned by Privately Owned. It is currently active. You can find more information at: https://www.facebook.com/rathartsupplies/."
Tell me about Raw Canvas.,"Raw Canvas is located at 1046 Hamilton St, Vancouver, BC, V6B 2R9. It is in the Downtown area. It is a Cafe/Restaurant/Bar primarily used for Cafe/Restaurant. The space is owned by Privately Owned. It is currently active. You can find more information at: http://www.rawcanvas.com/."
