Question,Answer,Link
Where can I find more information about status restoration?,"For more information about restoration, visit the IRCC website at https://www.canada.ca/en/immigration-refugees-citizenship/corporate/publications-manuals/operational-bulletins-manuals/temporary-residents/visitors/restoration-status.html or https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/extend-study-permit/expired-permit.html.",https://www.sfu.ca/students/isap/faqs-international/immigration/studying-in-canada/staying-in-canada/what-should-i-do-if-my-study-permit-has-already-expired--.html
What requirements must I meet to be eligible for status restoration?,You may be eligible to restore your temporary status as a student if you continue to meet the requirements of your stay and you respect the conditions of your study permit.,https://www.sfu.ca/students/isap/faqs-international/immigration/studying-in-canada/staying-in-canada/what-should-i-do-if-my-study-permit-has-already-expired--.html
Can my family members extend their stay in Canada?,Your family members can extend their stay in Canada providing they meet the eligibility criteria for the type of immigration document(s) they will be applying for.  They may apply to extend their immigration status documents from inside Canada before their current immigration status documents expire.,https://www.sfu.ca/students/isap/faqs-international/immigration/studying-in-canada/staying-in-canada/can-my-family-members-extend-their-stay-in-canada--.html
What should I do if my passport is about to expire when I need to extend my study permit?,"You must submit your study permit extension application before it expires to maintain valid student status in Canada, even if your passport is about to expire.",https://www.sfu.ca/students/isap/faqs-international/immigration/studying-in-canada/staying-in-canada/renew-passport-study-permit-extension.html
Why should I consult with my embassy or consulate about passport renewal?,It is strongly recommended that you consult with the embassy or consulate responsible for your country of citizenship well in advance to learn about how and when you can renew your passport.,https://www.sfu.ca/students/isap/faqs-international/immigration/studying-in-canada/staying-in-canada/renew-passport-study-permit-extension.html
What should I include in my study permit extension application if my passport is about to expire?,"Include a letter of explanation detailing why you haven't renewed your passport, when you expect to receive a new one, your intention to update IRCC, and any supporting documents proving you've begun the renewal process.",https://www.sfu.ca/students/isap/faqs-international/immigration/studying-in-canada/staying-in-canada/renew-passport-study-permit-extension.html
What happens to my status if I apply to extend my study permit with an expiring passport?,"Applying to extend your study permit from inside Canada will allow you to benefit from maintained status while awaiting processing, meaning you can remain in Canada and continue studying (and working, if eligible) until a decision is made.",https://www.sfu.ca/students/isap/faqs-international/immigration/studying-in-canada/staying-in-canada/renew-passport-study-permit-extension.html
What should I do when I receive my new passport?,"When you receive your new passport, immediately submit it to IRCC via the IRCC web form and request that it be attached to your study permit extension application.",https://www.sfu.ca/students/isap/faqs-international/immigration/studying-in-canada/staying-in-canada/renew-passport-study-permit-extension.html
Is my application guaranteed to be processed if I'm waiting for a new passport?,Please note that it is at the discretion of the IRCC visa officer whether they will consider your application while your passport renewal is pending.,https://www.sfu.ca/students/isap/faqs-international/immigration/studying-in-canada/staying-in-canada/renew-passport-study-permit-extension.html
How does my course enrollment at SFU affect my status as a study permit holder in Canada?,"As an international student holding a study permit, you are required to actively pursue your studies while in Canada, which from IRCC's perspective means maintaining at least part-time status with your institution.",https://www.sfu.ca/students/isap/faqs-international/immigration/studying-in-canada/enrollment-requirements/how-does-my-course-enrollment-at-sfu-affect-my-status-as-a-study.html
"What is the minimum enrollment requirement to be considered ""actively pursuing studies"" at SFU?","To be considered enrolled at SFU, you must be enrolled in a minimum of 1 unit for credit in a given term (excluding audit courses).",https://www.sfu.ca/students/isap/faqs-international/immigration/studying-in-canada/enrollment-requirements/how-does-my-course-enrollment-at-sfu-affect-my-status-as-a-study.html
Can I study part-time while on a study permit?,"Although your study permit allows you to study part-time (i.e., you are still considered to be ""actively pursuing studies"" if enrolled part-time), part-time enrollment will impact your ability to work on or off campus.",https://www.sfu.ca/students/isap/faqs-international/immigration/studying-in-canada/enrollment-requirements/how-does-my-course-enrollment-at-sfu-affect-my-status-as-a-study.html
How does part-time enrollment affect my work eligibility and future opportunities?,Part-time enrollment will impact your ability to work on or off campus and may also affect your eligibility for a Post-Graduation Work Permit.,https://www.sfu.ca/students/isap/faqs-international/immigration/studying-in-canada/enrollment-requirements/how-does-my-course-enrollment-at-sfu-affect-my-status-as-a-study.html
Where can I find more information about studying part-time as an international student?,Please see SFU's Enrollment Requirements: Studying Part-Time page for more information about the implications of part-time enrollment.,https://www.sfu.ca/students/isap/faqs-international/immigration/studying-in-canada/enrollment-requirements/how-does-my-course-enrollment-at-sfu-affect-my-status-as-a-study.html
What criteria does IRCC use to determine if a student is actively pursuing studies?,Students should be able to demonstrate that they are making reasonable progress toward the completion of their courses in the time allotted by the program.,https://www.sfu.ca/students/isap/faqs-international/immigration/studying-in-canada/enrollment-requirements/how-does-my-course-enrollment-at-sfu-affect-my-status-as-a-study.html
What is the minimum course load required for full-time status at SFU?,"SFU undergraduate students (including post-baccalaureate programs) are considered full-time for immigration purposes if they are enrolled in a minimum of 9 units in the Spring, Summer and Fall terms.",https://www.sfu.ca/students/isap/faqs-international/immigration/studying-in-canada/enrollment-requirements/what-is-the-minimum-course-load-required-for-full-time-status-at.html
What constitutes full-time status for graduate students at SFU?,"Graduate students are considered full-time if they are enrolled in per term fee programs, enrolled in a thesis/project/capstone course or field exams, or enrolled in 6 or more units per term in per unit fee programs.",https://www.sfu.ca/students/isap/faqs-international/immigration/studying-in-canada/enrollment-requirements/what-is-the-minimum-course-load-required-for-full-time-status-at.html
Are there any special cases where students can be considered full-time with different enrollment criteria?,"Students can also be considered full-time if they are in a Formal Exchange Program/Field School, co-operative education placement, approved internship or practicum, enrolled in the Dual Degree partnerships between SFU and certain colleges, enrolled under the Western Deans Agreement, are Visiting International Research Students, or have approved full-time equivalency from the Centre for Accessible Learning.",https://www.sfu.ca/students/isap/faqs-international/immigration/studying-in-canada/enrollment-requirements/what-is-the-minimum-course-load-required-for-full-time-status-at.html
How many units do undergraduate students in Dual Degree partnerships need to be enrolled in for full-time status?,"Undergraduate students enrolled in a total minimum of 9 units as part of the Dual Degree partnerships between SFU and Langara, Douglas and Kwantlen are considered full-time for immigration purposes.",https://www.sfu.ca/students/isap/faqs-international/immigration/studying-in-canada/enrollment-requirements/what-is-the-minimum-course-load-required-for-full-time-status-at.html
Can students with reduced course loads still maintain full-time status?,Students for whom the Centre for Accessible Learning has approved full-time equivalency can maintain full-time status despite carrying a reduced load.,https://www.sfu.ca/students/isap/faqs-international/immigration/studying-in-canada/enrollment-requirements/what-is-the-minimum-course-load-required-for-full-time-status-at.html
What is the enrollment status for Visiting International Research Students?,"Visiting International Graduate Research Students enrolled in ""Grad 800"" and Visiting International Undergraduate Research Students enrolled in ""UG 400"" are considered full-time for immigration purposes.",https://www.sfu.ca/students/isap/faqs-international/immigration/studying-in-canada/enrollment-requirements/what-is-the-minimum-course-load-required-for-full-time-status-at.html
Can I enroll part-time?,"Although your study permit allows you to study part time, part-time enrollment will impact your ability to work on or off campus. It may also affect your eligibility for a Post-Graduation Work Permit.",https://www.sfu.ca/students/isap/faqs-international/immigration/studying-in-canada/enrollment-requirements/can-i-enroll-part-time--.html
Can I take time off from my studies as an international student?,"Immigration, Refugees and Citizenship Canada (IRCC) generally requires international students to remain enrolled and actively pursue studies, as taking time off may affect your study permit, work eligibility, and Post-Graduation Work Permit eligibility.",https://www.sfu.ca/students/isap/faqs-international/immigration/studying-in-canada/enrollment-requirements/can-i-take-a-term--or-multiple-terms--off-.html
What's the policy for undergraduate international students taking a term off?,"Undergraduate students at SFU have flexibility to enroll in one, two, or three terms per year without needing formal permission, though taking time off can impact your immigration status and legal ability to work in Canada.",https://www.sfu.ca/students/isap/faqs-international/immigration/studying-in-canada/enrollment-requirements/can-i-take-a-term--or-multiple-terms--off-.html
What's the policy for graduate international students taking a term off?,"Graduate students must maintain continuous enrollment per SFU Graduate General Regulations section 1.4.1, and need to apply for a formal leave of absence if they require a break from studies.",https://www.sfu.ca/students/isap/faqs-international/immigration/studying-in-canada/enrollment-requirements/can-i-take-a-term--or-multiple-terms--off-.html
Where can I find more information about taking time off as an international student?,"For more information, carefully read SFU's ""Enrollment Requirements: Taking a Term off"" and contact an International Student Advisor, Immigration Specialist well in advance of planning any break from studies.",https://www.sfu.ca/students/isap/faqs-international/immigration/studying-in-canada/enrollment-requirements/can-i-take-a-term--or-multiple-terms--off-.html
Can international students work off campus?,Eligible international students can work off campus without a work permit if they meet certain criteria.,https://www.sfu.ca/students/isap/faqs-international/immigration/working-in-canada/on-off-campus/can-i-work-off-campus--.html
What does off-campus work include?,"Off-campus work includes employment outside the boundaries of the SFU campus, excluding Co-op placements or SFU-approved internships or practicums.",https://www.sfu.ca/students/isap/faqs-international/immigration/working-in-canada/on-off-campus/can-i-work-off-campus--.html
What are the requirements for international students to work off campus?,"Students can work off campus without a work permit if they meet SFU's definition of full-time or are on a regularly scheduled break, meet IRCC's work eligibility criteria, and hold a valid Social Insurance Number (SIN).",https://www.sfu.ca/students/isap/faqs-international/immigration/working-in-canada/on-off-campus/can-i-work-off-campus--.html
Can part-time students in their final term work off campus?,"If you are studying part-time in your final term of study, you may be eligible to work off campus by meeting specific criteria outlined on the IRCC website.",https://www.sfu.ca/students/isap/faqs-international/immigration/working-in-canada/on-off-campus/can-i-work-off-campus--.html
Where can I get a Social Insurance Number (SIN) for off-campus work?,"International students need a valid Social Insurance Number (SIN) for off-campus work, and SFU provides a handout with information on how to apply.",https://www.sfu.ca/students/isap/faqs-international/immigration/working-in-canada/on-off-campus/can-i-work-off-campus--.html
Can international students work on campus?,Eligible international students can work on campus without a work permit if they meet certain eligibility criteria.,https://www.sfu.ca/students/isap/faqs-international/immigration/working-in-canada/on-off-campus/can-i-work-on-campus--.html
"What is considered ""on campus"" work according to IRCC?","""On campus"" is defined as employment within the boundaries of the campus, where your employer can be SFU, a faculty member, the Student Society, yourself, or a private business providing services to the institution.",https://www.sfu.ca/students/isap/faqs-international/immigration/working-in-canada/on-off-campus/can-i-work-on-campus--.html
Which SFU campuses can international students work at?,"Students who meet the eligibility criteria to work on campus are permitted to work at any of the three SFU campuses: Burnaby, Vancouver or Surrey.",https://www.sfu.ca/students/isap/faqs-international/immigration/working-in-canada/on-off-campus/can-i-work-on-campus--.html
What are the requirements for international students to work on campus?,"Students can work on campus without a work permit if they meet SFU's definition of full-time status, meet IRCC's work eligibility criteria, and hold a valid Social Insurance Number (SIN).",https://www.sfu.ca/students/isap/faqs-international/immigration/working-in-canada/on-off-campus/can-i-work-on-campus--.html
Can part-time students in their final term work on campus?,"If you are studying part-time in your final term, you may be eligible to work on campus by meeting specific criteria outlined on the IRCC website.",https://www.sfu.ca/students/isap/faqs-international/immigration/working-in-canada/on-off-campus/can-i-work-on-campus--.html
How many hours can international students work on campus?,"There is currently no restriction on the number of hours you may work on campus, but it's recommended to limit your hours to part time since your studies must remain your main reason for being in Canada.",https://www.sfu.ca/students/isap/faqs-international/immigration/working-in-canada/on-off-campus/how-many-hours-can-i-work-on-or-off-campus--.html
How many hours can international students work off campus during academic sessions?,"As of November 8, 2024, eligible international students may work a maximum of 24 hours per week off campus during regular academic sessions.",https://www.sfu.ca/students/isap/faqs-international/immigration/working-in-canada/on-off-campus/how-many-hours-can-i-work-on-or-off-campus--.html
How many hours can international students work off campus during scheduled breaks?,"During regularly scheduled breaks, eligible international students may work full time off campus.",https://www.sfu.ca/students/isap/faqs-international/immigration/working-in-canada/on-off-campus/how-many-hours-can-i-work-on-or-off-campus--.html
Where can I find more information about what constitutes a regularly scheduled break?,"For more information about what constitutes a regularly scheduled break and work eligibility during these periods, please visit the SFU website.",https://www.sfu.ca/students/isap/faqs-international/immigration/working-in-canada/on-off-campus/how-many-hours-can-i-work-on-or-off-campus--.html
When did the off-campus work hour limit change?,"On November 15, 2024, Immigration, Refugees and Citizenship Canada (IRCC) announced the increase in off-campus work hours from 20 to 24 hours per week, effective November 8, 2024.",https://www.sfu.ca/students/isap/faqs-international/immigration/working-in-canada/on-off-campus/how-many-hours-can-i-work-on-or-off-campus--.html
How can I apply for a Co-op Work Permit?,"You can apply for a co-op work permit together with your study permit application from outside Canada or your study permit extension from inside Canada, with IRCC requiring online submissions unless exempted.",https://www.sfu.ca/students/isap/faqs-international/immigration/working-in-canada/co-op-work-permit/how-can-i-apply-for-a-co-op-work-permit--.html
Is there a fee for Co-op work permits?,Co-op work permits are fee exempt (free).,https://www.sfu.ca/students/isap/faqs-international/immigration/working-in-canada/co-op-work-permit/how-can-i-apply-for-a-co-op-work-permit--.html
What do current undergraduate students need to do to get a Co-op Work Permit?,"Undergraduate students must first be accepted into the co-op program before applying for a co-op work permit, and your Co-op/Practicum Coordinator will issue a required letter for your application.",https://www.sfu.ca/students/isap/faqs-international/immigration/working-in-canada/co-op-work-permit/how-can-i-apply-for-a-co-op-work-permit--.html
What resources are available for applying for a co-op work permit within Canada?,"Resources include the IRCC webpage ""Work as a co-op student or intern"" (https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/intern.html), SFU's ""Co-op/SFU-Approved Internship Work Permit"" guide, and an Instruction Guide for Co-op Work Permit Applications.",https://www.sfu.ca/students/isap/faqs-international/immigration/working-in-canada/co-op-work-permit/how-can-i-apply-for-a-co-op-work-permit--.html
How do new graduate students apply for a Co-op Work Permit?,"New graduate students whose programs have mandatory practicum/internship/co-op components can apply for a co-op work permit with their initial study permit application, including the Study/Work Permit Information Form from their admission package.",https://www.sfu.ca/students/isap/faqs-international/immigration/working-in-canada/co-op-work-permit/how-can-i-apply-for-a-co-op-work-permit--.html
