Question,Answer,Link
What is the Multifaith Centre at SFU?,"The Multifaith Centre provides space for spiritual expression, prayer, interfaith dialogue, and community support.",https://www.sfu.ca/students/admission/student-experience/international-student-experience/joining-sfu.html
What fitness and recreation options are available at SFU?,"SFU offers group fitness classes, sports clubs, intramurals, and a multi-level fitness facility.",https://www.sfu.ca/students/admission/student-experience/international-student-experience/joining-sfu.html
What is the U-Pass BC Program?,The U-Pass BC Program provides students with affordable access to Metro Vancouver's public transit system.,https://www.sfu.ca/students/admission/student-experience/international-student-experience/joining-sfu.html
What alternative transportation options are available to SFU students?,"Students can use cycling routes, E-Bike share, car share services, carpooling, or the SFU Burnaby campus shuttle.",https://www.sfu.ca/students/admission/student-experience/international-student-experience/joining-sfu.html
What dining options are available at SFU?,"SFU offers various dining options, including a 24/7 all-you-care-to-eat Dining Commons with meal plans.",https://www.sfu.ca/students/admission/student-experience/international-student-experience/joining-sfu.html
What health services are available to SFU students?,"SFU students can access medical services from doctors and nurses, as well as mental health support from counselors, psychologists, psychiatrists, social workers, and mental health nurses.",https://www.sfu.ca/students/admission/student-experience/international-student-experience/getting-settled.html
What is the MySSP app?,"MySSP is a free 24/7 virtual service that provides mental health support, including access to counselors who share similar lived experiences.",https://www.sfu.ca/students/admission/student-experience/international-student-experience/getting-settled.html
Is medical insurance mandatory for international students at SFU?,"Yes, international students must have both primary and secondary medical insurance.",https://www.sfu.ca/students/admission/student-experience/international-student-experience/getting-settled.html
What does primary medical insurance cover?,"Primary medical insurance, provided through BC MSP, covers doctor visits, hospital stays, and diagnostic medical testing.",https://www.sfu.ca/students/admission/student-experience/international-student-experience/getting-settled.html
Are new international students automatically enrolled in medical insurance?,"Yes, they are automatically enrolled in temporary medical insurance for their first term while waiting for MSP coverage.",https://www.sfu.ca/students/admission/student-experience/international-student-experience/getting-settled.html
What does secondary medical insurance cover?,"Secondary medical insurance, through the SFSS Extended Health and Dental Plan, covers prescription drugs, vision care, dental care, massage therapy, physiotherapy, and acupuncture.",https://www.sfu.ca/students/admission/student-experience/international-student-experience/getting-settled.html
What safety services does SFU provide?,"SFU offers 24/7 emergency assistance, the Safe Walk program, and safety guides for international students.",https://www.sfu.ca/students/admission/student-experience/international-student-experience/getting-settled.html
What is the Safe Walk program?,The Safe Walk program provides 24/7 campus security escorts for students walking alone or at night.,https://www.sfu.ca/students/admission/student-experience/international-student-experience/getting-settled.html
What support does the Sexual Violence Support & Prevention Office (SVSPO) provide?,"The SVSPO offers free and confidential support for students affected by sexual violence, regardless of when or where it occurred.",https://www.sfu.ca/students/admission/student-experience/international-student-experience/getting-settled.html
Why should international students read SFU's safety guides?,"Safety guides help international students recognize and avoid scams related to housing, transit, and other necessities.",https://www.sfu.ca/students/admission/student-experience/international-student-experience/getting-settled.html
Who can access Student Services Academic Advisors?,"Newly-admitted students, undeclared students with fewer than 60 units, or students facing academic difficulty.",https://www.sfu.ca/students/admission/student-experience/international-student-experience/academic-support.html
Who should see a Departmental Academic Advisor?,Students with more than 60 units who have or are ready to declare a specialization (major or minor).,https://www.sfu.ca/students/admission/student-experience/international-student-experience/academic-support.html
What is the Student Learning Commons (SLC)?,"The SLC is a peer-learning environment that helps students improve their English, study skills, academic writing, research, and time management.",https://www.sfu.ca/students/admission/student-experience/international-student-experience/academic-support.html
What support do peer tutors and mentors provide?,Peer tutors and mentors offer academic guidance specific to students' programs or faculties.,https://www.sfu.ca/students/admission/student-experience/international-student-experience/academic-support.html
What is the purpose of the Centre for Accessible Learning (CAL)?,CAL provides disability-related services and accommodations to support students with documented or suspected disabilities.,https://www.sfu.ca/students/admission/student-experience/international-student-experience/academic-support.html
What kind of peer tutoring is available?,"This is a list of Peer Tutors and Mentors by Program or Faculty: FAS Mentorship Program (Faculty of Applied Sciences), FASS Connections Mentorship Program (Faculty of Arts and Social Sciences), Business Writing Mentors (Beedie School of Business), Peer Leader Program (School of Communications | FCAT), Techteams (School of Interactive Arts & Technology | FCAT), Peer Mentor Program (Faculty of Education), FHS Peer Mentorship Program (Faculty of Health Sciences), Science & Math Peer Tutoring (Faculty of Science), Science Peer Mentorship (Faculty of Science), Peer Cousins Mentorship Program (Indigenous Student Centre)",https://www.sfu.ca/students/admission/student-experience/international-student-experience/academic-support.html
What is the role of an Academic Advisor at SFU?,"An Academic Advisor helps students plan their degree path, fulfill program requirements, and navigate academic difficulties.",https://www.sfu.ca/students/mysfuplan/academic-planning.html
When should students meet with a Career Advisor?,Students can meet with a Career Advisor at any stage of their undergraduate journey to plan for graduation and career opportunities.,https://www.sfu.ca/students/mysfuplan/academic-planning.html
How can Co-Op affect a student's degree completion timeline?,Co-Op may impact course loads and extend the time needed to complete a degree.,https://www.sfu.ca/students/mysfuplan/academic-planning.html
Are there International Student Advisors available at SFU?,"Yes. An International Student Advisor helps students understand enrolment requirements affecting their study permit, work eligibility, and stay in Canada.",https://www.sfu.ca/students/mysfuplan/academic-planning.html
What financial planning support does SFU offer?,"SFU provides financial aid options, funding opportunities, and guidance on managing tuition, fees, and living expenses.",https://www.sfu.ca/students/mysfuplan/academic-planning.html
How does course load impact scholarship eligibility?,Some scholarships and awards require students to maintain a minimum course load during the application term.,https://www.sfu.ca/students/mysfuplan/academic-planning.html
What academic requirements do NCAA student-athletes need to meet?,"NCAA student-athletes must maintain a minimum course load, adhere to participation limits, and meet eligibility criteria to compete.",https://www.sfu.ca/students/mysfuplan/academic-planning.html
What is an SFU Computing ID?,"An SFU Computing ID is the username before ""@sfu.ca"" in a student's SFU email address.",https://www.sfu.ca/students/mysfuplan/academic-planning.html
Is a Computing ID the same as a student or employee number?,"No, a Computing ID is different from the 9-digit student or employee number on an SFU ID card.",https://www.sfu.ca/students/mysfuplan/academic-planning.html
What services can students access with their Computing ID?,"Students can access Wi-Fi, SFU Mail, goSFU, Canvas, computer labs, online library services, and other SFU technology services.",https://www.sfu.ca/students/mysfuplan/academic-planning.html
Where do students use their Computing ID?,"Students use their Computing ID to log in to SFU's digital services, including course registration, tuition payment, and lecture materials.",https://www.sfu.ca/students/mysfuplan/academic-planning.html
How long does it take to access all services after activating a Computing ID?,"Some services, including SFU Mail, may take up to an hour after activation to become accessible.",https://www.sfu.ca/students/mysfuplan/academic-planning.html
What should newly admitted undergraduate students complete before enrolling?,They should complete University Prep Step 1 and 2 for enrolment support.,https://www.sfu.ca/students/enrolment-services/enrolment.html.html
What do University Prep modules provide?,"They provide step-by-step guidance on planning a class schedule, searching for classes, and preparing for enrolment.",https://www.sfu.ca/students/enrolment-services/enrolment.html.html
Where can students browse available courses at SFU?,"Students can browse courses at go.sfu.ca under the ""Browse Catalog"" section.",https://www.sfu.ca/students/enrolment-services/enrolment/before-you-enrol/browse-search-classes.html
What should students do before enrolling in courses?,"They should search the course schedule, check space availability, and write down class numbers for easy enrolment.",https://www.sfu.ca/students/enrolment-services/enrolment/before-you-enrol/browse-search-classes.html
Why is it important to note both lecture and tutorial class numbers?,Both lecture and tutorial/lab sections must have available spaces to successfully add a course.,https://www.sfu.ca/students/enrolment-services/enrolment/before-you-enrol/browse-search-classes.html
How can students search for class schedules at SFU?,"They can log into go.sfu.ca, select ""Search for Classes"" or ""Browse Catalog,"" choose the department, and refine the search with filters.",https://www.sfu.ca/students/enrolment-services/enrolment/before-you-enrol/browse-search-classes.html
How can students narrow their class search?,"They can refine their search using criteria like Course ID, Class Number, Mode of Instruction, Class Days, Start Time, End Time, or Instructor's Last Name.",https://www.sfu.ca/students/enrolment-services/enrolment/before-you-enrol/browse-search-classes.html
How do I enrol in classes?,"Sign into goSFU with your computing ID and password, check your enrolment appointment, and enrol on your appointment date.",https://www.sfu.ca/students/enrolment-services/enrolment/how-to-enrol.html
When does the course cart become available?,The course cart becomes available two weeks before the enrolment period starts.,https://www.sfu.ca/students/enrolment-services/enrolment/how-to-enrol.html
How long should I allow for travel between SFU campuses?,You should allow 90 minutes to travel between campuses if taking courses at different locations on the same day.,https://www.sfu.ca/students/enrolment-services/enrolment/how-to-enrol.html
Until when can I add or swap classes?,You can add or swap classes until the end of the first week of the term.,https://www.sfu.ca/students/enrolment-services/enrolment/how-to-enrol.html
Can I drop a class after enrolling?,"Yes, but you may face academic and/or financial penalties depending on when you drop it.",https://www.sfu.ca/students/enrolment-services/enrolment/how-to-enrol.html
What is considered a full course load at SFU?,"A full course load is typically 15 units (five courses), but at least 9 units (three courses) are required to be a full-time student.",https://www.sfu.ca/students/enrolment-services/enrolment/how-to-enrol.html
What is the minimum course load for newly admitted students?,Newly admitted students must complete at least one course in their first term or their admission will be forfeited.,https://www.sfu.ca/students/enrolment-services/enrolment/how-to-enrol.html
How many courses can I take per term?,"Students can enrol in 1 to 5 courses per term, provided they meet the prerequisites and course restrictions.",https://www.sfu.ca/students/enrolment-services/enrolment/how-to-enrol.html
When can I enrol in courses for Fall?,You will receive your enrolment appointment date and time via email.,https://www.sfu.ca/students/enrolment-services/enrolment/how-to-enrol/faq.html
How do I check my enrolment appointment time?,"Sign in to goSFU, go to ""Student Centre,"" and check the Enrollment Dates box on the right side of the screen.",https://www.sfu.ca/students/enrolment-services/enrolment/how-to-enrol/faq.html
Why don't I have the option to add classes?,"You may be signed in with your student number instead of your computing ID, have been absent for three or more terms, or have a hold on your account.",https://www.sfu.ca/students/enrolment-services/enrolment/how-to-enrol/faq.html
Why can't I get into a specific class?,"You may not meet prerequisites, the class may be full, have a time conflict, require departmental consent, or be reserved for specific programs.",https://www.sfu.ca/students/enrolment-services/enrolment/how-to-enrol/faq.html
Why am I still #1 on the waitlist when there are available seats?,"The class may have a tutorial section with a different waitlist position, a time conflict, reserved seats, or you may have reached your maximum course load.",https://www.sfu.ca/students/enrolment-services/enrolment/how-to-enrol/faq.html
How do I get into a reserved course?,You need to contact the Departmental Advisor or wait until the open enrolment period.,https://www.sfu.ca/students/enrolment-services/enrolment/how-to-enrol/faq.html
When do the new Provincial Attestation Letter (PAL) requirements take effect?,"The expanded PAL requirements apply to study permit applications submitted on or after January 22, 2025.",https://www.sfu.ca/students/isap/explore/before/permit-and-documents-tips.html
Who is required to have a PAL?,Master's and PhD students must have a valid PAL when applying for a study permit.,https://www.sfu.ca/students/isap/explore/before/permit-and-documents-tips.html
Who is exempt from submitting a PAL?,Students extending their study permits within Canada at the same designated learning institution and level of study are exempt.,https://www.sfu.ca/students/isap/explore/before/permit-and-documents-tips.html
What is SFU's Designated Learning Institution (DLI) number?,SFU's DLI number is O18781994282.,https://www.sfu.ca/students/isap/explore/before/permit-and-documents-tips.html
How early should I apply for a study permit?,"Apply as early as possible to allow time for processing, biometrics, and any required medical exams.",https://www.sfu.ca/students/isap/explore/before/permit-and-documents-tips.html
Where should I submit my study permit application?,Most applicants must apply online unless eligible for a paper application due to disability or specific travel documents.,https://www.sfu.ca/students/isap/explore/before/permit-and-documents-tips.html
Can US citizens apply for a study permit at the border?,"Yes, US citizens and permanent residents can apply at a Canadian port of entry.",https://www.sfu.ca/students/isap/explore/before/permit-and-documents-tips.html
What documents are required for a study permit application?,"Required documents include an application form, biometrics, valid passport, SFU admission letter, proof of funds, and potentially a PAL.",https://www.sfu.ca/students/isap/explore/before/permit-and-documents-tips.html
What are the passport requirements for study permit applicants?,"Your passport must be valid for the duration of your program, and US citizens can enter Canada with proof of citizenship but should have a passport.",https://www.sfu.ca/students/isap/explore/before/permit-and-documents-tips.html
What letter should I include as proof of admission?,"New undergraduate students should submit their four-page Offer of Admission letter, while graduate students need both their Admission Letter and Study/Work Permit Information form.",https://www.sfu.ca/students/isap/explore/before/permit-and-documents-tips.html
How can I prove I have enough funds for my studies?,"Provide bank statements, proof of employment, scholarship details, or a letter from a sponsor confirming financial support.",https://www.sfu.ca/students/isap/explore/before/permit-and-documents-tips.html
What financial documents are recommended for proof of funds?,"Documents should clearly show the source and history of funds, and large unexplained deposits may not be accepted.",https://www.sfu.ca/students/isap/explore/before/permit-and-documents-tips.html
"What is a study plan, and should I include one?",A study plan is a one-page document explaining your study goals and ties to your home country; it is strongly recommended.,https://www.sfu.ca/students/isap/explore/before/permit-and-documents-tips.html
Who needs an immigration medical exam (IME)?,Applicants who have lived in a designated country for six or more consecutive months in the past year may need an IME.,https://www.sfu.ca/students/isap/explore/before/permit-and-documents-tips.html
What should students under 19 include in their application?,Students under 19 may need custodianship declaration forms proving they have a legal custodian in Canada.,https://www.sfu.ca/students/isap/explore/before/permit-and-documents-tips.html
What should I do if I have a criminal record?,Visit the IRCC website for information on overcoming criminal inadmissibility.,https://www.sfu.ca/students/isap/explore/before/permit-and-documents-tips.html
