Question,Answer,Link
When do applications open for the Summer term?,Applications for the Summer term open on December 1.,https://www.sfu.ca/students/residences/apply/application-process.html
How are housing offers distributed to students?,Housing offers are sent to eligible (admitted) students based on priority processes and then by completed application date.,https://www.sfu.ca/students/residences/apply/application-process.html
How much does a single room in North Towers cost for the Fall 2025 term?,"A single room in North Towers costs $3,636 for the entire Fall 2025 term (September-December).",https://www.sfu.ca/students/residences/fees/Fall.html
Is a meal plan required for students living in McTaggart Cowan Hall?,The meal plan is optional for students living in McTaggart Cowan Hall.,https://www.sfu.ca/students/residences/fees/Fall.html
What is the cost of the meal plan for undergraduate residences requiring it?,"The meal plan costs $3,549 per term for residences requiring it.",https://www.sfu.ca/students/residences/fees/Fall.html
Which undergraduate residences don't require a meal plan?,McTaggart Cowan Hall and Townhouses don't require a meal plan.,https://www.sfu.ca/students/residences/fees/Fall.html
How much does parking cost in SFU residences?,Parking costs between $185-$235 per term.,https://www.sfu.ca/students/residences/fees/Fall.html
What is the fee for the Residence Hall Association?,The Residence Hall Association fee is $13 for all residents except Graduate & Family Housing and Charles Chang Innovation Centre residents.,https://www.sfu.ca/students/residences/fees/Fall.html
What is the charge for a lost key or lock change?,The charge for a lost key or lock change ranges from $25 to $400.,https://www.sfu.ca/students/residences/fees/Fall.html
How much does it cost to live in a single room in Courtyard Residence?,"A single room in Courtyard Residence costs $4,440 per term.",https://www.sfu.ca/students/residences/fees/Fall.html
What is the penalty for an improper check-out or overstay?,The penalty for improper check-out or overstay is $80 per day.,https://www.sfu.ca/students/residences/fees/Fall.html
What is the maximum charge for a late return of a moving cart?,The maximum charge for late return of a moving cart is $350.,https://www.sfu.ca/students/residences/fees/Fall.html
What are the available methods to pay SFU Residence and Housing fees?,"SFU Residence and Housing fees can be paid through online payment via MyPlace@SFU, in person, or by pre-authorization debit (for family housing only).",https://www.sfu.ca/students/residences/fees/payment-methods.html
How do I pay my housing fees online through MyPlace@SFU?,"Log into MyPlace@SFU housing portal, choose Your Account, view your Account Balance, enter payment amounts, click Pay Now, and choose your payment method.",https://www.sfu.ca/students/residences/fees/payment-methods.html
What payment methods are accepted for in-person payments at the Residence and Housing Office?,"In-person payments at the Residence and Housing Office can be made with credit card, debit card, personal cheque, or bank draft.",https://www.sfu.ca/students/residences/fees/payment-methods.html
Is cash accepted at the Residence and Housing Office?,Cash is not accepted at the Residence and Housing Office.,https://www.sfu.ca/students/residences/fees/payment-methods.html
Who can use the pre-authorization debit payment method?,The pre-authorization debit payment method is available for family housing residents only.,https://www.sfu.ca/students/residences/fees/payment-methods.html
How long does it take for bill payment and Flywire payments to be processed?,Bill payment and Flywire payments will be received and updated on Your Account within 3 to 4 business days.,https://www.sfu.ca/students/residences/fees/payment-methods.html
Which email should I contact for payment-related inquiries?,"For payment-related inquiries, email resfin@sfu.ca.",https://www.sfu.ca/students/residences/fees/payment-methods.html
"What is important to note about the ""SFU-Residence and Meal Plan"" payee?","The ""SFU-Residence and Meal Plan"" payee is dedicated to residence fees only, not tuition.",https://www.sfu.ca/students/residences/fees/payment-methods.html
How do I set up pre-authorization debit for family housing?,Submit a PAD form to SFU Residence and Housing via email to housing@sfu.ca with direct debit authorization form or a voided cheque.,https://www.sfu.ca/students/residences/fees/payment-methods.html
When is the monthly residence fee debited from the bank account for those using pre-authorization debit?,The monthly residence fee is debited on the first business day of the month for those using pre-authorization debit.,https://www.sfu.ca/students/residences/fees/payment-methods.html
What are the deadlines to apply for undergraduate housing?, "For Fall, the applications open on October 1 and offers begin from February - August, for Spring, the applications open on August 1 and offers begin from October - December. And for Summer, the applications open on December 1 and offers begin from February - April.",https://www.sfu.ca/students/residences/apply/application-process.html
What are on campus housing fees at SFU for different types of residences?, "For the Fall 2025 term, SFU's on-campus housing rates range from $3,636 to $4,580 per term (4 months) for various accommodation types. North Towers offers single rooms at $3,636, Super Singles at $4,108, and Singles with Bath at $4,580. Courtyard Residence provides single rooms at $4,440, while McTaggart Cowan Hall singles cost $4,160. Townhouse singles are available for $4,008. Most residences require a mandatory meal plan costing $3,549 per term, though it's optional for McTaggart Cowan Hall and Townhouses. Rates for East/West Towers singles are still to be determined. All prices exclude taxes.",https://www.sfu.ca/students/residences/fees/Fall.html
